month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2020-09,A00,Amar Gambit,2000,3,1,2,1,1,2,0,2
2020-09,A00,Amar Gambit,2200,3,1,2,1,0,2,1,1
2020-09,A00,Amar Gambit,2400,1,1,0,1,0,1,1,0
2020-09,A00,Amar Opening,600,172,55,99,17,40,120,33,72
2020-09,A00,Amar Opening,800,939,354,506,101,146,613,239,329
2020-09,A00,Amar Opening,1000,2195,726,1242,161,357,1362,499,736
2020-09,A00,Amar Opening,1200,2228,692,1286,124,383,1129,383,625
2020-09,A00,Amar Opening,1400,2008,676,1131,105,308,1092,405,583
2020-09,A00,Amar Opening,1600,992,347,570,47,144,444,179,232
2020-09,A00,Amar Opening,1800,822,389,385,48,81,531,260,234
2020-09,A00,Amar Opening,2000,1129,566,501,47,56,910,459,402
2020-09,A00,Amar Opening,2200,387,162,197,7,26,263,111,131
2020-09,A00,Amar Opening,2400,61,27,31,2,4,47,17,27
2020-09,A00,Amar Opening: Paris Gambit,800,5,3,1,0,1,3,1,1
2020-09,A00,Amar Opening: Paris Gambit,1000,11,4,6,0,3,9,4,5
2020-09,A00,Amar Opening: Paris Gambit,1200,2,1,1,0,0,2,1,1
2020-09,A00,Amar Opening: Paris Gambit,1400,3,0,3,0,0,1,0,1
2020-09,A00,Amar Opening: Paris Gambit,1600,13,3,10,0,1,10,1,9
2020-09,A00,Amar Opening: Paris Gambit,1800,11,6,5,1,0,10,5,5
2020-09,A00,Amar Opening: Paris Gambit,2000,8,2,5,0,0,6,1,4
2020-09,A00,Amar Opening: Paris Gambit,2200,12,5,7,2,1,7,5,2
2020-09,A00,Amar Opening: Paris Gambit,2400,1,0,1,0,0,0,0,0
2020-09,A00,Amsterdam Attack,800,4,2,2,0,1,4,2,2
2020-09,A00,Amsterdam Attack,1000,4,1,3,1,2,4,1,3
2020-09,A00,Amsterdam Attack,1200,11,4,7,0,0,10,4,6
2020-09,A00,Amsterdam Attack,1400,9,5,4,1,1,9,5,4
2020-09,A00,Amsterdam Attack,1600,12,4,8,0,1,10,3,7
2020-09,A00,Amsterdam Attack,1800,5,3,2,0,0,5,3,2
2020-09,A00,Amsterdam Attack,2200,1,0,1,0,0,1,0,1
2020-09,A00,Anderssen Opening,600,56,15,35,3,8,33,12,19
2020-09,A00,Anderssen Opening,800,580,234,294,49,76,381,169,186
2020-09,A00,Anderssen Opening,1000,1922,797,960,159,220,1383,618,671
2020-09,A00,Anderssen Opening,1200,3864,1692,1878,255,359,2974,1392,1410
2020-09,A00,Anderssen Opening,1400,4399,1891,2179,287,391,3474,1579,1676
2020-09,A00,Anderssen Opening,1600,4618,2100,2287,318,388,3747,1747,1819
2020-09,A00,Anderssen Opening,1800,2737,1284,1297,135,172,1977,918,941
2020-09,A00,Anderssen Opening,2000,3127,1519,1392,120,134,2372,1148,1065
2020-09,A00,Anderssen Opening,2200,818,386,364,24,34,578,273,255
2020-09,A00,Anderssen Opening,2400,170,76,83,11,7,105,48,52
2020-09,A00,Anderssen Opening: Polish Gambit,600,1,1,0,0,0,1,1,0
2020-09,A00,Anderssen Opening: Polish Gambit,800,7,4,3,1,2,6,3,3
2020-09,A00,Anderssen Opening: Polish Gambit,1000,10,5,5,2,0,4,2,2
2020-09,A00,Anderssen Opening: Polish Gambit,1200,12,5,5,0,0,5,3,2
2020-09,A00,Anderssen Opening: Polish Gambit,1400,15,5,6,0,0,10,4,4
2020-09,A00,Anderssen Opening: Polish Gambit,1600,9,3,5,0,0,4,2,2
2020-09,A00,Anderssen Opening: Polish Gambit,1800,15,8,6,2,1,10,7,2
2020-09,A00,Anderssen Opening: Polish Gambit,2000,7,4,3,0,0,6,4,2
2020-09,A00,Barnes Opening: Fool's Mate,600,3,0,3,0,3,2,0,2
2020-09,A00,Barnes Opening: Fool's Mate,800,21,0,21,0,21,16,0,16
2020-09,A00,Barnes Opening: Fool's Mate,1000,41,0,41,0,41,29,0,29
2020-09,A00,Barnes Opening: Fool's Mate,1200,55,0,55,0,55,29,0,29
2020-09,A00,Barnes Opening: Fool's Mate,1400,45,0,45,0,45,34,0,34
2020-09,A00,Barnes Opening: Fool's Mate,1600,31,0,31,0,31,16,0,16
2020-09,A00,Barnes Opening: Fool's Mate,1800,12,0,12,0,12,4,0,4
2020-09,A00,Barnes Opening: Fool's Mate,2000,9,0,9,0,9,6,0,6
2020-09,A00,Barnes Opening: Fool's Mate,2200,4,0,4,0,4,1,0,1
2020-09,A00,Barnes Opening: Fool's Mate,2400,2,0,2,0,2,0,0,0
2020-09,A00,Barnes Opening: Gedult Gambit,800,1,1,0,0,0,0,0,0
2020-09,A00,Barnes Opening: Gedult Gambit,1000,1,0,1,0,0,1,0,1
2020-09,A00,Barnes Opening: Gedult Gambit,1200,1,0,1,0,0,1,0,1
2020-09,A00,Barnes Opening: Gedult Gambit,1400,3,2,1,1,0,2,1,1
2020-09,A00,Barnes Opening: Gedult Gambit,1600,2,1,1,0,0,1,0,1
2020-09,A00,Barnes Opening: Gedult Gambit,1800,10,6,4,2,0,8,4,4
2020-09,A00,Barnes Opening: Gedult Gambit,2000,17,8,9,2,1,14,7,7
2020-09,A00,Barnes Opening: Gedult Gambit,2200,2,0,2,0,0,1,0,1
2020-09,A00,Barnes Opening: Walkerling,600,23,8,14,2,5,13,5,8
2020-09,A00,Barnes Opening: Walkerling,800,283,126,146,33,34,207,92,110
2020-09,A00,Barnes Opening: Walkerling,1000,547,231,292,50,66,458,196,243
2020-09,A00,Barnes Opening: Walkerling,1200,607,242,341,35,73,489,212,258
2020-09,A00,Barnes Opening: Walkerling,1400,543,227,295,49,74,446,188,241
2020-09,A00,Barnes Opening: Walkerling,1600,375,163,203,24,42,299,130,161
2020-09,A00,Barnes Opening: Walkerling,1800,297,133,150,20,42,231,100,118
2020-09,A00,Barnes Opening: Walkerling,2000,131,54,74,3,19,85,34,49
2020-09,A00,Barnes Opening: Walkerling,2200,21,8,11,0,2,11,4,5
2020-09,A00,Barnes Opening: Walkerling,2400,1,0,1,0,0,1,0,1
2020-09,A00,Clemenz Opening,600,156,43,92,10,27,93,24,55
2020-09,A00,Clemenz Opening,800,952,273,569,60,175,519,161,303
2020-09,A00,Clemenz Opening,1000,2893,1015,1523,176,421,1788,706,889
2020-09,A00,Clemenz Opening,1200,5629,2079,2904,297,615,3696,1552,1829
2020-09,A00,Clemenz Opening,1400,6147,2391,3142,315,644,4491,1960,2193
2020-09,A00,Clemenz Opening,1600,3140,1297,1631,146,295,2288,1028,1132
2020-09,A00,Clemenz Opening,1800,1678,736,867,57,165,1344,614,671
2020-09,A00,Clemenz Opening,2000,1296,660,573,54,74,913,443,424
2020-09,A00,Clemenz Opening,2200,513,226,267,27,20,404,174,212
2020-09,A00,Clemenz Opening,2400,45,22,20,3,2,28,13,12
2020-09,A00,Clemenz Opening: Spike Lee Gambit,800,2,1,1,0,1,2,1,1
2020-09,A00,Clemenz Opening: Spike Lee Gambit,1000,7,2,4,0,2,6,2,3
2020-09,A00,Clemenz Opening: Spike Lee Gambit,1200,14,4,6,0,0,7,3,2
2020-09,A00,Clemenz Opening: Spike Lee Gambit,1400,6,4,2,1,0,3,2,1
2020-09,A00,Clemenz Opening: Spike Lee Gambit,1600,3,0,2,0,0,2,0,2
2020-09,A00,Clemenz Opening: Spike Lee Gambit,1800,2,1,1,0,0,1,0,1
2020-09,A00,Clemenz Opening: Spike Lee Gambit,2000,1,0,1,0,0,1,0,1
2020-09,A00,Crab Opening,600,47,10,34,6,17,31,6,24
2020-09,A00,Crab Opening,800,295,104,173,29,44,210,84,112
2020-09,A00,Crab Opening,1000,644,240,370,49,137,480,194,263
2020-09,A00,Crab Opening,1200,947,352,557,55,173,704,296,383
2020-09,A00,Crab Opening,1400,896,345,516,51,134,724,309,386
2020-09,A00,Crab Opening,1600,298,125,152,16,40,210,97,102
2020-09,A00,Crab Opening,1800,114,37,69,2,15,78,28,44
2020-09,A00,Crab Opening,2000,49,26,21,1,3,36,20,15
2020-09,A00,Crab Opening,2200,17,6,9,0,0,8,2,4
2020-09,A00,Crab Opening,2400,12,5,5,0,0,11,5,4
2020-09,A00,Creepy Crawly Formation: Classical Defense,600,2,0,2,0,0,1,0,1
2020-09,A00,Creepy Crawly Formation: Classical Defense,800,75,35,34,3,5,60,26,29
2020-09,A00,Creepy Crawly Formation: Classical Defense,1000,249,115,127,23,32,194,95,96
2020-09,A00,Creepy Crawly Formation: Classical Defense,1200,979,438,499,59,96,885,409,438
2020-09,A00,Creepy Crawly Formation: Classical Defense,1400,1107,534,537,53,77,1015,495,491
2020-09,A00,Creepy Crawly Formation: Classical Defense,1600,529,236,270,19,26,460,217,221
2020-09,A00,Creepy Crawly Formation: Classical Defense,1800,147,71,74,10,9,123,62,59
2020-09,A00,Creepy Crawly Formation: Classical Defense,2000,127,61,60,3,12,101,48,47
2020-09,A00,Creepy Crawly Formation: Classical Defense,2200,42,18,20,2,3,26,12,12
2020-09,A00,Creepy Crawly Formation: Classical Defense,2400,10,6,3,1,0,7,4,3
2020-09,A00,Formation: Hippopotamus Attack,1200,2,0,2,0,0,1,0,1
2020-09,A00,Formation: Hippopotamus Attack,1400,5,1,4,0,1,3,1,2
2020-09,A00,Formation: Hippopotamus Attack,1600,3,1,2,0,1,2,1,1
2020-09,A00,Formation: Hippopotamus Attack,1800,1,0,1,0,0,0,0,0
2020-09,A00,Formation: Hippopotamus Attack,2000,1,1,0,0,0,0,0,0
2020-09,A00,Formation: Shy Attack,1000,1,0,1,0,0,1,0,1
2020-09,A00,Formation: Shy Attack,1400,1,1,0,1,0,1,1,0
2020-09,A00,Formation: Shy Attack,2000,1,0,1,0,0,1,0,1
2020-09,A00,Gedult's Opening,600,245,64,157,22,60,133,35,84
2020-09,A00,Gedult's Opening,800,1246,455,701,100,254,826,321,458
2020-09,A00,Gedult's Opening,1000,2773,958,1595,162,525,1898,686,1091
2020-09,A00,Gedult's Opening,1200,4832,1865,2564,233,731,3360,1419,1728
2020-09,A00,Gedult's Opening,1400,5022,1784,2884,206,795,3640,1399,2035
2020-09,A00,Gedult's Opening,1600,4631,1943,2457,215,530,3676,1609,1886
2020-09,A00,Gedult's Opening,1800,3809,1693,1967,142,410,2967,1286,1563
2020-09,A00,Gedult's Opening,2000,2327,1006,1220,86,223,1693,725,890
2020-09,A00,Gedult's Opening,2200,618,264,315,26,59,436,185,221
2020-09,A00,Gedult's Opening,2400,155,73,69,8,9,98,45,43
2020-09,A00,Global Opening,600,5,0,4,0,2,5,0,4
2020-09,A00,Global Opening,800,78,31,45,3,20,60,24,35
2020-09,A00,Global Opening,1000,228,92,124,10,36,168,77,81
2020-09,A00,Global Opening,1200,706,287,384,48,86,584,258,306
2020-09,A00,Global Opening,1400,611,283,304,33,62,526,253,251
2020-09,A00,Global Opening,1600,273,124,134,10,13,237,115,110
2020-09,A00,Global Opening,1800,37,21,13,3,2,22,14,6
2020-09,A00,Global Opening,2000,27,15,10,2,2,20,12,7
2020-09,A00,Global Opening,2200,7,5,2,0,0,3,2,1
2020-09,A00,Global Opening,2400,1,1,0,0,0,0,0,0
2020-09,A00,Grob Opening,600,301,96,180,28,69,182,63,109
2020-09,A00,Grob Opening,800,2309,850,1312,231,423,1600,635,876
2020-09,A00,Grob Opening,1000,5224,2016,2849,516,932,3802,1556,2022
2020-09,A00,Grob Opening,1200,8573,3652,4358,959,1135,6469,2918,3219
2020-09,A00,Grob Opening,1400,12863,5636,6588,1265,1451,10492,4733,5309
2020-09,A00,Grob Opening,1600,11088,5299,5372,1003,1003,8818,4248,4246
2020-09,A00,Grob Opening,1800,10215,4834,5015,726,679,8110,3862,3959
2020-09,A00,Grob Opening,2000,4492,2118,2187,254,236,3354,1634,1582
2020-09,A00,Grob Opening,2200,743,310,389,26,35,543,230,282
2020-09,A00,Grob Opening,2400,59,32,22,2,7,37,20,15
2020-09,A00,Grob Opening: Alessi Gambit,600,5,4,1,1,0,1,1,0
2020-09,A00,Grob Opening: Alessi Gambit,800,13,9,4,4,1,8,8,0
2020-09,A00,Grob Opening: Alessi Gambit,1000,47,16,20,3,7,26,11,9
2020-09,A00,Grob Opening: Alessi Gambit,1200,69,25,32,6,7,40,18,17
2020-09,A00,Grob Opening: Alessi Gambit,1400,66,31,23,10,3,47,26,16
2020-09,A00,Grob Opening: Alessi Gambit,1600,63,29,31,9,8,45,22,21
2020-09,A00,Grob Opening: Alessi Gambit,1800,57,27,30,3,10,43,20,23
2020-09,A00,Grob Opening: Alessi Gambit,2000,23,7,16,0,3,17,6,11
2020-09,A00,Grob Opening: Alessi Gambit,2200,4,2,2,1,0,2,1,1
2020-09,A00,Grob Opening: Double Grob,600,20,2,16,0,4,15,2,11
2020-09,A00,Grob Opening: Double Grob,800,117,56,49,12,11,69,37,25
2020-09,A00,Grob Opening: Double Grob,1000,173,73,80,10,15,105,52,48
2020-09,A00,Grob Opening: Double Grob,1200,239,119,89,24,16,141,75,53
2020-09,A00,Grob Opening: Double Grob,1400,245,115,102,19,16,159,67,77
2020-09,A00,Grob Opening: Double Grob,1600,139,72,56,14,10,89,46,41
2020-09,A00,Grob Opening: Double Grob,1800,87,45,34,6,2,63,30,27
2020-09,A00,Grob Opening: Double Grob,2000,40,21,18,4,2,34,19,14
2020-09,A00,Grob Opening: Double Grob,2200,3,2,1,0,0,2,2,0
2020-09,A00,Grob Opening: Double Grob,2400,1,1,0,0,0,1,1,0
2020-09,A00,"Grob Opening: Double Grob, Coca-Cola Gambit",800,7,1,6,0,2,5,0,5
2020-09,A00,"Grob Opening: Double Grob, Coca-Cola Gambit",1000,15,6,5,2,1,4,2,1
2020-09,A00,"Grob Opening: Double Grob, Coca-Cola Gambit",1200,20,5,12,2,3,7,2,5
2020-09,A00,"Grob Opening: Double Grob, Coca-Cola Gambit",1400,15,4,3,0,2,5,0,1
2020-09,A00,"Grob Opening: Double Grob, Coca-Cola Gambit",1600,3,1,0,0,0,1,0,0
2020-09,A00,"Grob Opening: Double Grob, Coca-Cola Gambit",1800,1,0,0,0,0,0,0,0
2020-09,A00,"Grob Opening: Double Grob, Coca-Cola Gambit",2000,1,0,1,0,0,1,0,1
2020-09,A00,Grob Opening: Grob Gambit,600,10,3,7,2,2,7,3,4
2020-09,A00,Grob Opening: Grob Gambit,800,110,50,54,11,28,79,38,35
2020-09,A00,Grob Opening: Grob Gambit,1000,396,171,206,56,60,337,154,168
2020-09,A00,Grob Opening: Grob Gambit,1200,856,422,408,106,86,746,372,350
2020-09,A00,Grob Opening: Grob Gambit,1400,1597,792,764,209,165,1395,693,665
2020-09,A00,Grob Opening: Grob Gambit,1600,1972,1027,888,203,188,1668,866,756
2020-09,A00,Grob Opening: Grob Gambit,1800,2017,958,970,146,156,1666,798,793
2020-09,A00,Grob Opening: Grob Gambit,2000,812,401,372,52,33,607,302,280
2020-09,A00,Grob Opening: Grob Gambit,2200,131,69,53,15,9,96,49,40
2020-09,A00,Grob Opening: Grob Gambit,2400,7,6,1,1,0,6,5,1
2020-09,A00,Grob Opening: Grob Gambit Declined,800,20,12,7,2,2,17,10,6
2020-09,A00,Grob Opening: Grob Gambit Declined,1000,79,32,45,9,20,65,25,38
2020-09,A00,Grob Opening: Grob Gambit Declined,1200,204,111,83,22,11,182,101,71
2020-09,A00,Grob Opening: Grob Gambit Declined,1400,458,219,231,55,48,387,185,194
2020-09,A00,Grob Opening: Grob Gambit Declined,1600,934,431,476,80,79,745,362,361
2020-09,A00,Grob Opening: Grob Gambit Declined,1800,1462,653,745,97,98,1131,519,562
2020-09,A00,Grob Opening: Grob Gambit Declined,2000,996,439,504,45,51,697,334,324
2020-09,A00,Grob Opening: Grob Gambit Declined,2200,243,104,125,9,11,169,71,90
2020-09,A00,Grob Opening: Grob Gambit Declined,2400,12,5,7,0,2,8,4,4
2020-09,A00,"Grob Opening: Grob Gambit, Basman Gambit",1400,3,1,2,0,1,3,1,2
2020-09,A00,"Grob Opening: Grob Gambit, Basman Gambit",1600,1,1,0,0,0,1,1,0
2020-09,A00,"Grob Opening: Grob Gambit, Basman Gambit",1800,8,2,6,0,0,7,1,6
2020-09,A00,"Grob Opening: Grob Gambit, Basman Gambit",2000,15,4,9,1,4,9,3,4
2020-09,A00,"Grob Opening: Grob Gambit, Basman Gambit",2200,3,3,0,0,0,2,2,0
2020-09,A00,"Grob Opening: Grob Gambit, Fritz Gambit",600,2,0,2,0,0,1,0,1
2020-09,A00,"Grob Opening: Grob Gambit, Fritz Gambit",800,14,6,7,3,5,9,2,6
2020-09,A00,"Grob Opening: Grob Gambit, Fritz Gambit",1000,83,46,37,22,10,67,36,31
2020-09,A00,"Grob Opening: Grob Gambit, Fritz Gambit",1200,415,237,167,96,51,354,200,146
2020-09,A00,"Grob Opening: Grob Gambit, Fritz Gambit",1400,1334,760,552,282,113,1174,677,476
2020-09,A00,"Grob Opening: Grob Gambit, Fritz Gambit",1600,2318,1318,921,461,185,1943,1148,733
2020-09,A00,"Grob Opening: Grob Gambit, Fritz Gambit",1800,3370,1908,1347,553,221,2769,1605,1071
2020-09,A00,"Grob Opening: Grob Gambit, Fritz Gambit",2000,1498,872,565,198,89,1147,668,434
2020-09,A00,"Grob Opening: Grob Gambit, Fritz Gambit",2200,254,130,107,31,11,207,111,81
2020-09,A00,"Grob Opening: Grob Gambit, Fritz Gambit",2400,20,11,8,2,1,16,9,6
