month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2018-12,A00,Anderssen Opening,1000,1,0,1,0,1,0,0,0
2018-12,A00,Anderssen Opening,1200,2,2,0,1,0,1,1,0
2018-12,A00,Anderssen Opening,1400,5,1,4,0,0,2,1,1
2018-12,A00,Anderssen Opening,1600,2,1,1,0,0,2,1,1
2018-12,A00,Clemenz Opening,800,1,0,1,0,1,0,0,0
2018-12,A00,Clemenz Opening,1000,2,1,1,0,1,1,1,0
2018-12,A00,Clemenz Opening,1200,3,2,1,1,1,2,2,0
2018-12,A00,Clemenz Opening,1800,2,1,1,0,0,0,0,0
2018-12,A00,Crab Opening,1200,1,0,1,0,0,1,0,1
2018-12,A00,Gedult's Opening,1000,2,2,0,0,0,2,2,0
2018-12,A00,Gedult's Opening,1200,2,1,1,0,0,1,1,0
2018-12,A00,Gedult's Opening,1400,3,2,1,0,0,2,1,1
2018-12,A00,Gedult's Opening,1600,1,1,0,0,0,1,1,0
2018-12,A00,Grob Opening,800,2,0,2,0,1,2,0,2
2018-12,A00,Grob Opening,1000,8,4,4,2,1,7,4,3
2018-12,A00,Grob Opening,1200,3,0,3,0,0,3,0,3
2018-12,A00,Grob Opening,1400,5,2,3,0,1,4,2,2
2018-12,A00,Grob Opening,1600,4,1,3,0,2,3,1,2
2018-12,A00,Grob Opening,1800,3,1,2,1,0,2,1,1
2018-12,A00,Grob Opening,2200,1,0,1,0,1,0,0,0
2018-12,A00,Grob Opening: Grob Gambit,1000,1,1,0,1,0,1,1,0
2018-12,A00,Grob Opening: Grob Gambit,1200,1,1,0,1,0,1,1,0
2018-12,A00,Grob Opening: Grob Gambit,1400,3,2,1,0,0,3,2,1
2018-12,A00,Grob Opening: Grob Gambit,1600,1,1,0,0,0,0,0,0
2018-12,A00,Grob Opening: Grob Gambit,1800,1,0,1,0,1,1,0,1
2018-12,A00,Grob Opening: Grob Gambit Declined,1600,1,1,0,0,0,1,1,0
2018-12,A00,"Grob Opening: Grob Gambit, Fritz Gambit",1200,1,0,1,0,0,1,0,1
2018-12,A00,"Grob Opening: Grob Gambit, Fritz Gambit",1600,2,1,1,0,0,2,1,1
2018-12,A00,Grob Opening: Keene Defense,2000,1,1,0,0,0,0,0,0
2018-12,A00,"Grob Opening: Spike, Hurst Attack",1600,2,2,0,1,0,0,0,0
2018-12,A00,Hungarian Opening,800,5,3,2,1,1,4,3,1
2018-12,A00,Hungarian Opening,1000,29,15,11,2,3,24,14,9
2018-12,A00,Hungarian Opening,1200,29,14,14,2,3,21,11,9
2018-12,A00,Hungarian Opening,1400,35,14,21,2,3,29,12,17
2018-12,A00,Hungarian Opening,1600,29,12,16,3,0,25,10,14
2018-12,A00,Hungarian Opening,1800,9,7,2,1,0,6,5,1
2018-12,A00,Hungarian Opening,2000,3,1,2,1,0,1,0,1
2018-12,A00,Hungarian Opening,2200,2,2,0,1,0,2,2,0
2018-12,A00,Hungarian Opening: Catalan Formation,1200,3,1,2,0,1,1,0,1
2018-12,A00,Hungarian Opening: Catalan Formation,1400,4,2,2,0,0,2,2,0
2018-12,A00,Hungarian Opening: Catalan Formation,1600,3,3,0,0,0,3,3,0
2018-12,A00,Hungarian Opening: Catalan Formation,2000,1,1,0,0,0,0,0,0
2018-12,A00,Hungarian Opening: Catalan Formation,2200,1,0,1,0,0,0,0,0
2018-12,A00,Hungarian Opening: Dutch Defense,1400,1,1,0,0,0,0,0,0
2018-12,A00,Hungarian Opening: Dutch Defense,1600,2,2,0,0,0,1,1,0
2018-12,A00,Hungarian Opening: Dutch Defense,1800,1,1,0,0,0,1,1,0
2018-12,A00,Hungarian Opening: Dutch Defense,2200,1,0,1,0,0,0,0,0
2018-12,A00,Hungarian Opening: Indian Defense,800,1,1,0,0,0,1,1,0
2018-12,A00,Hungarian Opening: Indian Defense,1000,2,1,1,1,0,2,1,1
2018-12,A00,Hungarian Opening: Indian Defense,1200,1,0,1,0,0,1,0,1
2018-12,A00,Hungarian Opening: Indian Defense,1400,3,2,1,0,0,3,2,1
2018-12,A00,Hungarian Opening: Indian Defense,1600,4,2,1,0,0,3,2,0
2018-12,A00,Hungarian Opening: Indian Defense,2000,2,1,1,0,0,0,0,0
2018-12,A00,Hungarian Opening: Indian Defense,2200,3,2,1,2,0,2,1,1
2018-12,A00,Hungarian Opening: Myers Defense,800,1,1,0,0,0,0,0,0
2018-12,A00,Hungarian Opening: Reversed Alekhine,1000,1,0,1,0,0,1,0,1
2018-12,A00,Hungarian Opening: Reversed Modern Defense,800,1,1,0,0,0,1,1,0
2018-12,A00,Hungarian Opening: Reversed Modern Defense,1600,3,1,2,0,0,3,1,2
2018-12,A00,Hungarian Opening: Reversed Modern Defense,2200,1,0,1,0,0,1,0,1
2018-12,A00,Hungarian Opening: Sicilian Invitation,1000,1,0,1,0,1,0,0,0
2018-12,A00,Hungarian Opening: Sicilian Invitation,1400,3,1,2,0,0,3,1,2
2018-12,A00,Hungarian Opening: Sicilian Invitation,1600,4,2,1,1,0,3,2,0
