month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2021-07,A00,Amar Gambit,1400,1,0,1,0,0,1,0,1
2021-07,A00,Amar Gambit,2000,1,0,1,0,1,1,0,1
2021-07,A00,Amar Gambit,2400,1,1,0,0,0,1,1,0
2021-07,A00,Amar Opening,600,650,253,340,71,91,420,174,215
2021-07,A00,Amar Opening,800,1930,712,1049,197,317,1183,466,631
2021-07,A00,Amar Opening,1000,2509,919,1342,200,375,1484,625,740
2021-07,A00,Amar Opening,1200,2332,804,1290,140,385,1088,443,548
2021-07,A00,Amar Opening,1400,1572,508,908,78,270,797,293,435
2021-07,A00,Amar Opening,1600,1002,349,595,53,135,454,172,257
2021-07,A00,Amar Opening,1800,1437,692,691,91,109,1112,546,523
2021-07,A00,Amar Opening,2000,1072,512,507,49,57,685,324,330
2021-07,A00,Amar Opening,2200,385,166,192,13,12,273,122,131
2021-07,A00,Amar Opening,2400,62,23,31,1,5,40,14,20
2021-07,A00,Amar Opening: Gent Gambit,2000,3,2,1,2,0,2,1,1
2021-07,A00,Amar Opening: Gent Gambit,2200,1,0,0,0,0,1,0,0
2021-07,A00,Amar Opening: Paris Gambit,600,3,1,2,0,1,3,1,2
2021-07,A00,Amar Opening: Paris Gambit,800,5,1,2,1,0,4,1,2
2021-07,A00,Amar Opening: Paris Gambit,1000,16,7,9,2,2,13,6,7
2021-07,A00,Amar Opening: Paris Gambit,1200,23,9,14,4,2,11,5,6
2021-07,A00,Amar Opening: Paris Gambit,1400,6,2,3,0,2,3,1,2
2021-07,A00,Amar Opening: Paris Gambit,1600,13,6,7,0,1,11,6,5
2021-07,A00,Amar Opening: Paris Gambit,1800,21,9,12,0,3,21,9,12
2021-07,A00,Amar Opening: Paris Gambit,2000,11,6,5,2,1,10,5,5
2021-07,A00,Amar Opening: Paris Gambit,2200,2,0,2,0,0,1,0,1
2021-07,A00,Amar Opening: Paris Gambit,2400,1,0,0,0,0,1,0,0
2021-07,A00,Amsterdam Attack,800,5,3,1,0,0,5,3,1
2021-07,A00,Amsterdam Attack,1000,7,4,3,0,2,7,4,3
2021-07,A00,Amsterdam Attack,1200,15,8,7,2,1,13,7,6
2021-07,A00,Amsterdam Attack,1400,15,6,9,0,1,13,5,8
2021-07,A00,Amsterdam Attack,1600,13,8,4,0,0,12,7,4
2021-07,A00,Amsterdam Attack,1800,21,13,7,1,1,19,11,7
2021-07,A00,Amsterdam Attack,2000,5,1,3,0,0,5,1,3
2021-07,A00,Anderssen's Opening,600,347,109,196,21,47,207,65,116
2021-07,A00,Anderssen's Opening,800,1113,382,591,75,142,622,238,321
