month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2021-03,A00,Amar Gambit,1200,1,1,0,0,0,1,1,0
2021-03,A00,Amar Gambit,1400,1,0,0,0,0,1,0,0
2021-03,A00,Amar Gambit,1800,4,4,0,2,0,2,2,0
2021-03,A00,Amar Gambit,2000,1,1,0,0,0,0,0,0
2021-03,A00,Amar Gambit,2200,2,2,0,1,0,1,1,0
2021-03,A00,Amar Opening,600,967,389,487,112,139,670,287,319
2021-03,A00,Amar Opening,800,2769,1103,1426,291,399,1861,781,931
2021-03,A00,Amar Opening,1000,3250,1111,1851,279,525,2005,753,1110
2021-03,A00,Amar Opening,1200,3015,1033,1650,211,475,1624,633,827
2021-03,A00,Amar Opening,1400,2357,811,1322,134,358,1246,491,645
2021-03,A00,Amar Opening,1600,1857,717,1026,121,176,1024,472,487
2021-03,A00,Amar Opening,1800,1415,679,679,93,116,821,385,404
2021-03,A00,Amar Opening,2000,1668,913,659,86,55,1115,575,472
2021-03,A00,Amar Opening,2200,470,190,252,18,23,297,127,151
2021-03,A00,Amar Opening,2400,44,23,18,4,1,33,18,14
2021-03,A00,Amar Opening: Gent Gambit,800,1,0,0,0,0,1,0,0
2021-03,A00,Amar Opening: Gent Gambit,1000,1,1,0,1,0,1,1,0
2021-03,A00,Amar Opening: Gent Gambit,1600,1,1,0,0,0,1,1,0
2021-03,A00,Amar Opening: Gent Gambit,1800,3,2,0,1,0,3,2,0
2021-03,A00,Amar Opening: Gent Gambit,2000,2,2,0,0,0,1,1,0
2021-03,A00,Amar Opening: Paris Gambit,600,13,5,7,2,1,8,4,4
2021-03,A00,Amar Opening: Paris Gambit,800,91,41,48,16,14,73,31,40
2021-03,A00,Amar Opening: Paris Gambit,1000,133,48,78,15,22,107,37,65
2021-03,A00,Amar Opening: Paris Gambit,1200,175,83,83,15,21,150,78,65
2021-03,A00,Amar Opening: Paris Gambit,1400,130,48,75,11,16,108,38,64
2021-03,A00,Amar Opening: Paris Gambit,1600,125,51,70,3,19,113,48,61
2021-03,A00,Amar Opening: Paris Gambit,1800,53,22,28,5,5,42,15,25
2021-03,A00,Amar Opening: Paris Gambit,2000,6,4,2,0,0,4,3,1
2021-03,A00,Amar Opening: Paris Gambit,2200,2,1,1,0,0,1,0,1
2021-03,A00,Amar Opening: Paris Gambit,2400,1,1,0,0,0,1,1,0
2021-03,A00,Amsterdam Attack,600,1,1,0,0,0,1,1,0
2021-03,A00,Amsterdam Attack,800,3,2,1,1,0,2,2,0
2021-03,A00,Amsterdam Attack,1000,7,2,4,1,0,6,2,3
2021-03,A00,Amsterdam Attack,1200,21,9,11,2,0,18,7,10
2021-03,A00,Amsterdam Attack,1400,13,7,5,2,0,10,5,5
2021-03,A00,Amsterdam Attack,1600,20,8,12,1,2,19,7,12
2021-03,A00,Amsterdam Attack,1800,12,7,5,2,0,12,7,5
2021-03,A00,Amsterdam Attack,2000,2,1,1,0,0,1,0,1
2021-03,A00,Amsterdam Attack,2200,1,1,0,0,0,1,1,0
2021-03,A00,Anderssen Opening,600,375,125,192,26,58,259,93,129
2021-03,A00,Anderssen Opening,800,1140,417,594,85,155,684,280,350
2021-03,A00,Anderssen Opening,1000,2532,966,1271,166,279,1674,700,827
