month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2019-10,A00,Amar Gambit,1000,1,1,0,1,0,0,0,0
2019-10,A00,Amar Gambit,1800,1,0,1,0,0,0,0,0
2019-10,A00,Amar Opening: Gent Gambit,1800,1,1,0,0,0,1,1,0
2019-10,A00,Amar Opening: Paris Gambit,800,1,0,1,0,0,1,0,1
2019-10,A00,Amar Opening: Paris Gambit,1000,5,1,4,1,1,2,1,1
2019-10,A00,Amar Opening: Paris Gambit,1200,2,0,1,0,0,1,0,0
2019-10,A00,Amar Opening: Paris Gambit,1400,4,1,2,0,0,4,1,2
2019-10,A00,Amar Opening: Paris Gambit,1600,2,1,1,0,1,1,0,1
2019-10,A00,Amar Opening: Paris Gambit,1800,2,1,1,1,1,2,1,1
2019-10,A00,Amar Opening: Paris Gambit,2000,4,1,3,0,0,4,1,3
2019-10,A00,Amar Opening: Paris Gambit,2200,2,1,1,0,1,1,1,0
2019-10,A00,Amsterdam Attack,800,3,3,0,0,0,1,1,0
2019-10,A00,Amsterdam Attack,1000,5,3,1,0,0,4,2,1
2019-10,A00,Amsterdam Attack,1200,14,6,8,1,3,12,5,7
2019-10,A00,Amsterdam Attack,1400,30,14,14,2,2,28,12,14
2019-10,A00,Amsterdam Attack,1600,9,6,3,1,0,9,6,3
2019-10,A00,Amsterdam Attack,1800,2,1,1,0,0,1,0,1
2019-10,A00,Amsterdam Attack,2000,1,1,0,0,0,0,0,0
2019-10,A00,Anderssen Opening,600,20,7,12,2,4,11,3,7
2019-10,A00,Anderssen Opening,800,345,131,205,33,70,183,70,108
2019-10,A00,Anderssen Opening,1000,1118,528,553,95,110,930,439,459
2019-10,A00,Anderssen Opening,1200,1848,854,922,143,166,1570,730,775
2019-10,A00,Anderssen Opening,1400,2325,1067,1191,147,189,1757,853,855
2019-10,A00,Anderssen Opening,1600,2582,1124,1369,146,214,1894,857,961
2019-10,A00,Anderssen Opening,1800,1828,874,871,94,110,1146,535,558
2019-10,A00,Anderssen Opening,2000,2809,1366,1271,147,95,2052,965,950
2019-10,A00,Anderssen Opening,2200,555,231,276,15,11,356,153,169
2019-10,A00,Anderssen Opening,2400,67,32,29,2,5,36,16,17
2019-10,A00,Anderssen Opening: Polish Gambit,800,4,2,2,0,0,2,1,1
2019-10,A00,Anderssen Opening: Polish Gambit,1000,7,0,7,0,1,7,0,7
2019-10,A00,Anderssen Opening: Polish Gambit,1200,7,3,4,0,1,7,3,4
2019-10,A00,Anderssen Opening: Polish Gambit,1400,7,4,2,1,0,4,2,1
2019-10,A00,Anderssen Opening: Polish Gambit,1600,4,0,4,0,1,3,0,3
2019-10,A00,Anderssen Opening: Polish Gambit,1800,13,7,6,1,2,13,7,6
2019-10,A00,Anderssen Opening: Polish Gambit,2000,6,1,5,0,3,4,0,4
2019-10,A00,Barnes Opening: Fool's Mate,600,2,0,2,0,2,1,0,1
2019-10,A00,Barnes Opening: Fool's Mate,800,13,0,13,0,13,5,0,5
2019-10,A00,Barnes Opening: Fool's Mate,1000,25,0,25,0,25,14,0,14
2019-10,A00,Barnes Opening: Fool's Mate,1200,14,0,14,0,14,8,0,8
2019-10,A00,Barnes Opening: Fool's Mate,1400,22,0,22,0,22,18,0,18
2019-10,A00,Barnes Opening: Fool's Mate,1600,11,0,11,0,11,6,0,6
2019-10,A00,Barnes Opening: Fool's Mate,1800,7,0,7,0,7,3,0,3
2019-10,A00,Barnes Opening: Fool's Mate,2000,5,0,5,0,5,1,0,1
2019-10,A00,Barnes Opening: Fool's Mate,2200,2,0,2,0,2,2,0,2
2019-10,A00,Barnes Opening: Gedult Gambit,1600,1,0,1,0,0,1,0,1
2019-10,A00,Barnes Opening: Gedult Gambit,1800,1,0,1,0,0,1,0,1
2019-10,A00,Barnes Opening: Gedult Gambit,2000,1,1,0,1,0,0,0,0
2019-10,A00,Barnes Opening: Gedult Gambit #2,1000,1,0,1,0,0,1,0,1
2019-10,A00,Barnes Opening: Gedult Gambit #2,1200,1,0,1,0,0,1,0,1
2019-10,A00,Barnes Opening: Gedult Gambit #2,1400,3,2,1,1,0,2,1,1
2019-10,A00,Barnes Opening: Gedult Gambit #2,1600,5,2,3,0,0,5,2,3
2019-10,A00,Barnes Opening: Gedult Gambit #2,1800,12,7,5,1,0,10,6,4
2019-10,A00,Barnes Opening: Gedult Gambit #2,2000,4,3,1,2,1,3,2,1
2019-10,A00,Barnes Opening: Walkerling,600,12,8,4,3,1,6,3,3
2019-10,A00,Barnes Opening: Walkerling,800,167,78,82,22,23,103,47,52
2019-10,A00,Barnes Opening: Walkerling,1000,322,142,167,29,42,255,115,131
2019-10,A00,Barnes Opening: Walkerling,1200,410,161,237,33,60,358,144,204
2019-10,A00,Barnes Opening: Walkerling,1400,257,120,130,13,29,211,101,105
2019-10,A00,Barnes Opening: Walkerling,1600,156,63,89,15,21,121,52,66
2019-10,A00,Barnes Opening: Walkerling,1800,172,64,103,6,27,104,47,55
2019-10,A00,Barnes Opening: Walkerling,2000,54,22,26,3,5,40,19,18
2019-10,A00,Barnes Opening: Walkerling,2200,3,2,1,1,0,3,2,1
2019-10,A00,Clemenz Opening,600,59,28,30,10,4,36,18,18
2019-10,A00,Clemenz Opening,800,683,277,383,74,118,389,163,213
2019-10,A00,Clemenz Opening,1000,2037,951,1005,185,204,1596,756,779
2019-10,A00,Clemenz Opening,1200,3294,1519,1630,236,282,2699,1256,1325
2019-10,A00,Clemenz Opening,1400,3109,1411,1604,191,247,2537,1188,1274
2019-10,A00,Clemenz Opening,1600,1769,707,996,94,144,1375,565,756
2019-10,A00,Clemenz Opening,1800,1185,578,559,45,106,934,473,423
2019-10,A00,Clemenz Opening,2000,790,363,388,21,53,571,262,280
2019-10,A00,Clemenz Opening,2200,200,76,104,3,7,151,57,78
2019-10,A00,Clemenz Opening,2400,26,14,11,0,0,16,8,7
2019-10,A00,Clemenz Opening: Spike Lee Gambit,800,2,1,1,0,0,1,0,1
2019-10,A00,Clemenz Opening: Spike Lee Gambit,1000,4,2,2,0,0,0,0,0
2019-10,A00,Clemenz Opening: Spike Lee Gambit,1200,6,3,3,0,1,5,3,2
2019-10,A00,Clemenz Opening: Spike Lee Gambit,1400,5,3,2,0,1,5,3,2
2019-10,A00,Clemenz Opening: Spike Lee Gambit,1800,1,0,1,0,0,1,0,1
2019-10,A00,Crab Opening,600,14,6,8,1,4,2,1,1
2019-10,A00,Crab Opening,800,143,54,87,12,36,95,43,50
2019-10,A00,Crab Opening,1000,386,172,200,36,65,309,143,154
2019-10,A00,Crab Opening,1200,414,176,227,31,51,357,155,192
2019-10,A00,Crab Opening,1400,197,66,125,7,26,146,53,89
2019-10,A00,Crab Opening,1600,130,57,70,3,24,108,50,55
2019-10,A00,Crab Opening,1800,53,21,29,4,5,41,12,27
2019-10,A00,Crab Opening,2000,21,10,10,0,6,9,3,5
2019-10,A00,Crab Opening,2200,11,8,3,1,0,1,0,1
2019-10,A00,Crab Opening,2400,7,3,4,0,0,6,2,4
2019-10,A00,Creepy Crawly Formation: Classical Defense,800,58,30,28,4,6,37,21,16
2019-10,A00,Creepy Crawly Formation: Classical Defense,1000,273,104,159,18,29,213,80,124
2019-10,A00,Creepy Crawly Formation: Classical Defense,1200,553,255,269,35,37,498,232,240
2019-10,A00,Creepy Crawly Formation: Classical Defense,1400,706,321,368,27,57,635,293,326
2019-10,A00,Creepy Crawly Formation: Classical Defense,1600,171,83,85,5,11,136,67,66
2019-10,A00,Creepy Crawly Formation: Classical Defense,1800,103,44,51,1,9,72,28,37
2019-10,A00,Creepy Crawly Formation: Classical Defense,2000,109,47,55,1,10,81,33,43
2019-10,A00,Creepy Crawly Formation: Classical Defense,2200,19,6,11,1,2,17,6,9
2019-10,A00,Creepy Crawly Formation: Classical Defense,2400,6,5,1,1,0,1,0,1
