month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2019-12,A00,Amar Gambit,1800,1,0,1,0,0,1,0,1
2019-12,A00,Amar Gambit,2200,1,1,0,1,0,0,0,0
2019-12,A00,Amar Opening: Paris Gambit,800,2,0,1,0,0,1,0,0
2019-12,A00,Amar Opening: Paris Gambit,1000,3,1,2,1,1,2,1,1
2019-12,A00,Amar Opening: Paris Gambit,1200,3,3,0,0,0,3,3,0
2019-12,A00,Amar Opening: Paris Gambit,1400,5,4,1,0,0,3,3,0
2019-12,A00,Amar Opening: Paris Gambit,1600,8,3,5,0,1,5,2,3
2019-12,A00,Amar Opening: Paris Gambit,1800,2,1,1,0,0,2,1,1
2019-12,A00,Amar Opening: Paris Gambit,2000,20,11,7,1,3,17,9,6
2019-12,A00,Amar Opening: Paris Gambit,2200,4,2,2,2,1,4,2,2
2019-12,A00,Amsterdam Attack,800,2,2,0,0,0,2,2,0
2019-12,A00,Amsterdam Attack,1000,4,2,2,0,0,3,1,2
2019-12,A00,Amsterdam Attack,1200,12,4,7,0,2,12,4,7
2019-12,A00,Amsterdam Attack,1400,18,8,9,1,2,16,7,8
2019-12,A00,Amsterdam Attack,1600,12,6,5,1,2,11,5,5
2019-12,A00,Amsterdam Attack,1800,4,1,3,0,0,4,1,3
2019-12,A00,Amsterdam Attack,2000,2,0,2,0,0,1,0,1
2019-12,A00,Amsterdam Attack,2200,1,1,0,0,0,0,0,0
2019-12,A00,Anderssen Opening,600,23,13,9,6,5,10,7,3
2019-12,A00,Anderssen Opening,800,403,189,196,53,47,269,133,125
2019-12,A00,Anderssen Opening,1000,1082,519,510,106,123,838,401,395
2019-12,A00,Anderssen Opening,1200,2217,1032,1105,158,182,1844,864,914
2019-12,A00,Anderssen Opening,1400,2406,1086,1225,141,198,1990,896,1010
2019-12,A00,Anderssen Opening,1600,1784,801,914,80,109,1268,603,611
2019-12,A00,Anderssen Opening,1800,2010,997,924,129,128,1462,724,671
2019-12,A00,Anderssen Opening,2000,1931,929,871,100,112,1267,618,558
2019-12,A00,Anderssen Opening,2200,797,388,358,28,50,527,251,240
2019-12,A00,Anderssen Opening,2400,130,72,51,1,9,75,37,31
2019-12,A00,Anderssen Opening: Polish Gambit,800,1,0,1,0,0,1,0,1
2019-12,A00,Anderssen Opening: Polish Gambit,1000,5,3,2,1,0,3,3,0
2019-12,A00,Anderssen Opening: Polish Gambit,1200,3,3,0,1,0,2,2,0
2019-12,A00,Anderssen Opening: Polish Gambit,1400,6,2,4,0,2,5,2,3
2019-12,A00,Anderssen Opening: Polish Gambit,1600,5,4,1,0,0,2,2,0
2019-12,A00,Anderssen Opening: Polish Gambit,1800,6,2,3,0,0,4,2,1
2019-12,A00,Anderssen Opening: Polish Gambit,2000,3,1,1,1,0,2,1,1
2019-12,A00,Anderssen Opening: Polish Gambit,2200,1,0,1,0,0,0,0,0
2019-12,A00,Barnes Opening: Fool's Mate,600,2,0,2,0,2,1,0,1
2019-12,A00,Barnes Opening: Fool's Mate,800,16,0,16,0,16,10,0,10
2019-12,A00,Barnes Opening: Fool's Mate,1000,17,0,17,0,17,8,0,8
2019-12,A00,Barnes Opening: Fool's Mate,1200,19,0,19,0,19,14,0,14
2019-12,A00,Barnes Opening: Fool's Mate,1400,18,0,18,0,18,13,0,13
2019-12,A00,Barnes Opening: Fool's Mate,1600,12,0,12,0,12,7,0,7
2019-12,A00,Barnes Opening: Fool's Mate,1800,7,0,7,0,7,6,0,6
2019-12,A00,Barnes Opening: Fool's Mate,2000,13,0,13,0,13,6,0,6
2019-12,A00,Barnes Opening: Fool's Mate,2200,14,0,14,0,14,2,0,2
2019-12,A00,Barnes Opening: Fool's Mate,2400,1,0,1,0,1,1,0,1
2019-12,A00,Barnes Opening: Gedult Gambit,800,1,0,1,0,0,1,0,1
2019-12,A00,Barnes Opening: Gedult Gambit,1800,2,1,1,1,0,2,1,1
2019-12,A00,Barnes Opening: Gedult Gambit #2,1200,1,0,1,0,1,0,0,0
2019-12,A00,Barnes Opening: Gedult Gambit #2,1400,2,0,2,0,1,2,0,2
2019-12,A00,Barnes Opening: Gedult Gambit #2,1800,7,2,5,1,2,4,1,3
2019-12,A00,Barnes Opening: Gedult Gambit #2,2000,3,1,2,0,0,2,0,2
2019-12,A00,Barnes Opening: Walkerling,600,23,13,9,8,3,4,2,1
2019-12,A00,Barnes Opening: Walkerling,800,211,106,100,31,33,138,62,71
2019-12,A00,Barnes Opening: Walkerling,1000,403,170,217,27,43,304,143,149
2019-12,A00,Barnes Opening: Walkerling,1200,442,222,209,37,52,375,190,176
2019-12,A00,Barnes Opening: Walkerling,1400,303,125,158,14,43,247,106,123
2019-12,A00,Barnes Opening: Walkerling,1600,199,90,101,11,31,170,74,88
2019-12,A00,Barnes Opening: Walkerling,1800,143,69,74,9,20,108,52,56
2019-12,A00,Barnes Opening: Walkerling,2000,61,31,28,5,2,46,26,18
2019-12,A00,Barnes Opening: Walkerling,2200,8,1,6,0,1,5,1,4
2019-12,A00,Barnes Opening: Walkerling,2400,1,0,0,0,0,0,0,0
2019-12,A00,Clemenz Opening,600,79,23,55,6,46,43,11,32
2019-12,A00,Clemenz Opening,800,644,219,411,54,201,366,150,210
2019-12,A00,Clemenz Opening,1000,1516,679,785,123,190,1138,533,565
2019-12,A00,Clemenz Opening,1200,2111,939,1094,114,202,1655,754,845
2019-12,A00,Clemenz Opening,1400,3215,1477,1639,221,275,2782,1303,1392
2019-12,A00,Clemenz Opening,1600,1575,669,869,81,160,1135,521,585
2019-12,A00,Clemenz Opening,1800,1079,460,573,44,104,826,365,423
2019-12,A00,Clemenz Opening,2000,584,255,310,24,57,406,178,214
2019-12,A00,Clemenz Opening,2200,216,87,108,7,9,161,63,81
2019-12,A00,Clemenz Opening,2400,50,17,29,1,1,26,11,13
2019-12,A00,Clemenz Opening: Spike Lee Gambit,800,3,0,3,0,0,1,0,1
2019-12,A00,Clemenz Opening: Spike Lee Gambit,1000,3,0,3,0,2,2,0,2
2019-12,A00,Clemenz Opening: Spike Lee Gambit,1200,4,2,2,0,2,3,2,1
2019-12,A00,Clemenz Opening: Spike Lee Gambit,1400,6,3,3,1,0,6,3,3
2019-12,A00,Clemenz Opening: Spike Lee Gambit,1600,1,0,1,0,1,1,0,1
2019-12,A00,Clemenz Opening: Spike Lee Gambit,1800,1,1,0,0,0,1,1,0
2019-12,A00,Clemenz Opening: Spike Lee Gambit,2000,2,1,1,1,1,1,1,0
2019-12,A00,Crab Opening,600,9,0,6,0,1,3,0,3
2019-12,A00,Crab Opening,800,114,56,55,11,22,67,37,29
2019-12,A00,Crab Opening,1000,268,109,143,12,49,188,74,103
2019-12,A00,Crab Opening,1200,321,135,175,19,44,247,112,128
2019-12,A00,Crab Opening,1400,187,85,98,14,23,150,71,77
2019-12,A00,Crab Opening,1600,135,72,60,10,15,105,59,43
2019-12,A00,Crab Opening,1800,52,27,24,2,5,34,20,13
2019-12,A00,Crab Opening,2000,33,11,22,1,6,20,7,13
2019-12,A00,Crab Opening,2200,7,2,5,0,0,4,1,3
2019-12,A00,Crab Opening,2400,1,1,0,0,0,0,0,0
2019-12,A00,Creepy Crawly Formation: Classical Defense,600,6,4,2,2,0,4,2,2
2019-12,A00,Creepy Crawly Formation: Classical Defense,800,52,24,27,5,8,31,17,13
2019-12,A00,Creepy Crawly Formation: Classical Defense,1000,214,107,103,25,13,174,85,87
2019-12,A00,Creepy Crawly Formation: Classical Defense,1200,720,355,341,35,54,638,321,294
2019-12,A00,Creepy Crawly Formation: Classical Defense,1400,691,321,342,41,43,596,284,291
2019-12,A00,Creepy Crawly Formation: Classical Defense,1600,290,142,140,8,22,241,118,118
2019-12,A00,Creepy Crawly Formation: Classical Defense,1800,78,42,34,1,4,51,26,23
2019-12,A00,Creepy Crawly Formation: Classical Defense,2000,108,47,58,1,8,85,33,49
2019-12,A00,Creepy Crawly Formation: Classical Defense,2200,27,8,18,0,2,21,6,14
2019-12,A00,Creepy Crawly Formation: Classical Defense,2400,5,4,1,0,0,3,2,1
2019-12,A00,Formation: Hippopotamus Attack,1000,1,0,1,0,0,1,0,1
