month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2020-08,A00,Amar Gambit,1200,1,0,1,0,0,1,0,1
2020-08,A00,Amar Gambit,1600,3,1,2,0,1,3,1,2
2020-08,A00,Amar Gambit,1800,1,0,1,0,0,1,0,1
2020-08,A00,Amar Gambit,2200,5,3,1,1,0,4,2,1
2020-08,A00,Amar Gambit,2400,1,0,1,0,1,0,0,0
2020-08,A00,Amar Opening,600,147,61,77,18,21,98,41,50
2020-08,A00,Amar Opening,800,796,292,440,94,111,525,218,270
2020-08,A00,Amar Opening,1000,1510,509,865,104,269,889,339,484
2020-08,A00,Amar Opening,1200,1882,669,1061,121,275,1017,418,523
2020-08,A00,Amar Opening,1400,2041,705,1170,106,341,1161,474,596
2020-08,A00,Amar Opening,1600,1253,421,768,65,195,567,249,287
2020-08,A00,Amar Opening,1800,1098,492,563,52,77,775,375,371
2020-08,A00,Amar Opening,2000,1212,595,558,57,58,897,438,413
2020-08,A00,Amar Opening,2200,437,206,203,22,18,307,141,144
2020-08,A00,Amar Opening,2400,41,17,19,2,3,22,8,12
2020-08,A00,Amar Opening: Gent Gambit,1600,1,1,0,0,0,0,0,0
2020-08,A00,Amar Opening: Paris Gambit,800,2,1,1,1,0,1,1,0
2020-08,A00,Amar Opening: Paris Gambit,1000,4,1,3,1,0,1,1,0
2020-08,A00,Amar Opening: Paris Gambit,1200,3,2,1,1,1,1,0,1
2020-08,A00,Amar Opening: Paris Gambit,1400,5,2,3,0,2,2,1,1
2020-08,A00,Amar Opening: Paris Gambit,1600,13,7,6,0,1,10,5,5
2020-08,A00,Amar Opening: Paris Gambit,1800,23,13,10,2,1,19,10,9
2020-08,A00,Amar Opening: Paris Gambit,2000,14,13,1,3,1,4,4,0
2020-08,A00,Amar Opening: Paris Gambit,2200,15,7,8,1,2,7,3,4
2020-08,A00,Amsterdam Attack,800,2,1,1,1,1,2,1,1
2020-08,A00,Amsterdam Attack,1000,9,6,3,0,0,8,5,3
2020-08,A00,Amsterdam Attack,1200,10,6,4,1,1,8,5,3
2020-08,A00,Amsterdam Attack,1400,13,7,5,0,0,11,6,5
2020-08,A00,Amsterdam Attack,1600,13,5,7,2,0,12,5,6
2020-08,A00,Amsterdam Attack,1800,7,3,4,0,0,5,2,3
2020-08,A00,Amsterdam Attack,2000,1,0,1,0,0,0,0,0
2020-08,A00,Amsterdam Attack,2200,1,1,0,0,0,1,1,0
2020-08,A00,Anderssen Opening,600,76,24,48,4,21,55,16,35
2020-08,A00,Anderssen Opening,800,455,171,251,38,86,302,114,167
2020-08,A00,Anderssen Opening,1000,1453,604,732,109,160,1063,463,524
2020-08,A00,Anderssen Opening,1200,4048,1788,2037,268,371,3251,1512,1587
2020-08,A00,Anderssen Opening,1400,4759,2055,2431,333,438,3742,1699,1856
2020-08,A00,Anderssen Opening,1600,4840,2257,2386,320,364,3904,1897,1850
2020-08,A00,Anderssen Opening,1800,3397,1558,1674,170,222,2444,1170,1154
2020-08,A00,Anderssen Opening,2000,3792,1738,1822,140,191,2632,1221,1254
2020-08,A00,Anderssen Opening,2200,1086,499,514,48,39,754,337,362
2020-08,A00,Anderssen Opening,2400,273,123,123,11,6,164,68,82
2020-08,A00,Anderssen Opening: Polish Gambit,800,2,0,2,0,1,1,0,1
2020-08,A00,Anderssen Opening: Polish Gambit,1000,6,2,4,1,0,4,1,3
2020-08,A00,Anderssen Opening: Polish Gambit,1200,12,2,8,1,1,11,1,8
2020-08,A00,Anderssen Opening: Polish Gambit,1400,17,8,9,0,1,12,5,7
2020-08,A00,Anderssen Opening: Polish Gambit,1600,7,5,2,0,0,2,1,1
2020-08,A00,Anderssen Opening: Polish Gambit,1800,5,2,3,0,1,4,2,2
2020-08,A00,Anderssen Opening: Polish Gambit,2000,3,1,2,1,0,3,1,2
2020-08,A00,Barnes Opening: Fool's Mate,600,5,0,5,0,5,3,0,3
2020-08,A00,Barnes Opening: Fool's Mate,800,24,0,24,0,24,15,0,15
2020-08,A00,Barnes Opening: Fool's Mate,1000,36,0,36,0,36,22,0,22
2020-08,A00,Barnes Opening: Fool's Mate,1200,48,0,48,0,48,34,0,34
2020-08,A00,Barnes Opening: Fool's Mate,1400,67,0,67,0,67,40,0,40
2020-08,A00,Barnes Opening: Fool's Mate,1600,40,0,40,0,40,22,0,22
2020-08,A00,Barnes Opening: Fool's Mate,1800,30,0,30,0,30,18,0,18
2020-08,A00,Barnes Opening: Fool's Mate,2000,26,0,26,0,26,16,0,16
2020-08,A00,Barnes Opening: Fool's Mate,2200,6,0,6,0,6,1,0,1
2020-08,A00,Barnes Opening: Fool's Mate,2400,1,0,1,0,1,0,0,0
2020-08,A00,Barnes Opening: Gedult Gambit,600,1,1,0,0,0,1,1,0
2020-08,A00,Barnes Opening: Gedult Gambit,800,1,0,1,0,1,1,0,1
2020-08,A00,Barnes Opening: Gedult Gambit,1000,3,2,1,1,1,2,1,1
2020-08,A00,Barnes Opening: Gedult Gambit,1200,1,1,0,0,0,1,1,0
2020-08,A00,Barnes Opening: Gedult Gambit,1400,5,2,3,1,0,5,2,3
2020-08,A00,Barnes Opening: Gedult Gambit,1600,4,3,1,1,0,2,2,0
2020-08,A00,Barnes Opening: Gedult Gambit,1800,8,5,3,0,0,5,3,2
2020-08,A00,Barnes Opening: Gedult Gambit,2000,9,7,2,1,0,9,7,2
2020-08,A00,Barnes Opening: Gedult Gambit,2200,2,1,1,0,0,2,1,1
2020-08,A00,Barnes Opening: Walkerling,600,34,13,17,6,6,21,8,10
2020-08,A00,Barnes Opening: Walkerling,800,311,144,154,38,37,243,112,120
2020-08,A00,Barnes Opening: Walkerling,1000,595,255,316,56,72,482,215,246
2020-08,A00,Barnes Opening: Walkerling,1200,676,271,378,51,87,559,239,296
2020-08,A00,Barnes Opening: Walkerling,1400,559,228,307,31,68,449,196,234
2020-08,A00,Barnes Opening: Walkerling,1600,371,151,208,23,45,294,127,160
2020-08,A00,Barnes Opening: Walkerling,1800,315,149,158,20,39,261,128,125
2020-08,A00,Barnes Opening: Walkerling,2000,123,44,69,6,15,95,33,54
2020-08,A00,Barnes Opening: Walkerling,2200,12,6,6,0,2,6,5,1
2020-08,A00,Barnes Opening: Walkerling,2400,2,0,2,0,1,0,0,0
2020-08,A00,Clemenz Opening,600,154,54,91,20,30,93,29,56
2020-08,A00,Clemenz Opening,800,841,264,487,53,156,509,167,297
2020-08,A00,Clemenz Opening,1000,2650,982,1421,193,414,1814,746,931
2020-08,A00,Clemenz Opening,1200,5128,1946,2707,305,579,3719,1528,1915
2020-08,A00,Clemenz Opening,1400,5812,2305,3032,306,697,4440,1916,2244
2020-08,A00,Clemenz Opening,1600,2948,1264,1536,132,228,2238,994,1144
2020-08,A00,Clemenz Opening,1800,1658,742,842,63,168,1284,559,667
2020-08,A00,Clemenz Opening,2000,1265,648,541,39,73,840,412,372
2020-08,A00,Clemenz Opening,2200,455,207,218,12,31,338,158,157
2020-08,A00,Clemenz Opening,2400,53,25,21,1,4,30,15,12
2020-08,A00,Clemenz Opening: Spike Lee Gambit,800,2,2,0,0,0,1,1,0
2020-08,A00,Clemenz Opening: Spike Lee Gambit,1000,7,2,5,0,0,5,1,4
2020-08,A00,Clemenz Opening: Spike Lee Gambit,1200,12,4,4,1,0,6,2,1
2020-08,A00,Clemenz Opening: Spike Lee Gambit,1400,10,5,3,2,0,4,2,2
2020-08,A00,Clemenz Opening: Spike Lee Gambit,1600,1,0,0,0,0,0,0,0
2020-08,A00,Clemenz Opening: Spike Lee Gambit,1800,2,1,1,0,1,1,0,1
2020-08,A00,Clemenz Opening: Spike Lee Gambit,2000,1,0,1,0,1,1,0,1
2020-08,A00,Clemenz Opening: Spike Lee Gambit,2200,1,1,0,0,0,1,1,0
2020-08,A00,Crab Opening,600,37,15,21,6,9,22,11,11
2020-08,A00,Crab Opening,800,249,83,151,19,52,174,71,91
2020-08,A00,Crab Opening,1000,572,211,337,37,124,419,177,224
2020-08,A00,Crab Opening,1200,751,291,414,50,137,561,236,292
2020-08,A00,Crab Opening,1400,754,277,453,40,129,553,229,306
2020-08,A00,Crab Opening,1600,324,125,191,15,43,221,89,126
2020-08,A00,Crab Opening,1800,124,56,66,3,18,78,35,41
2020-08,A00,Crab Opening,2000,72,32,36,3,7,59,27,29
2020-08,A00,Crab Opening,2200,26,12,14,1,3,20,7,13
2020-08,A00,Crab Opening,2400,6,3,3,0,1,2,0,2
2020-08,A00,Creepy Crawly Formation: Classical Defense,600,6,2,4,0,0,4,1,3
2020-08,A00,Creepy Crawly Formation: Classical Defense,800,80,30,44,8,9,58,25,29
2020-08,A00,Creepy Crawly Formation: Classical Defense,1000,370,165,193,29,49,326,152,164
2020-08,A00,Creepy Crawly Formation: Classical Defense,1200,1173,540,577,73,114,1063,497,514
2020-08,A00,Creepy Crawly Formation: Classical Defense,1400,1006,409,562,41,86,887,374,483
2020-08,A00,Creepy Crawly Formation: Classical Defense,1600,705,329,360,35,46,637,303,319
2020-08,A00,Creepy Crawly Formation: Classical Defense,1800,172,61,102,3,15,91,38,49
2020-08,A00,Creepy Crawly Formation: Classical Defense,2000,128,61,62,1,13,106,49,53
2020-08,A00,Creepy Crawly Formation: Classical Defense,2200,46,27,18,3,1,33,19,14
2020-08,A00,Creepy Crawly Formation: Classical Defense,2400,14,8,5,0,1,7,5,1
2020-08,A00,Formation: Hippopotamus Attack,800,1,0,1,0,0,1,0,1
2020-08,A00,Formation: Hippopotamus Attack,1000,4,1,3,0,0,3,1,2
2020-08,A00,Formation: Hippopotamus Attack,1200,4,2,2,0,2,2,1,1
2020-08,A00,Formation: Hippopotamus Attack,1600,2,1,1,0,0,1,1,0
2020-08,A00,Formation: Hippopotamus Attack,1800,2,1,1,0,0,2,1,1
2020-08,A00,Formation: Shy Attack,1200,1,1,0,0,0,1,1,0
2020-08,A00,Formation: Shy Attack,1600,1,0,1,0,0,0,0,0
2020-08,A00,Formation: Shy Attack,1800,2,0,1,0,0,1,0,0
2020-08,A00,Formation: Shy Attack,2000,1,1,0,0,0,1,1,0
2020-08,A00,Gedult's Opening,600,226,68,137,18,55,137,43,81
2020-08,A00,Gedult's Opening,800,1087,344,662,75,222,734,247,444
2020-08,A00,Gedult's Opening,1000,2398,819,1404,139,457,1742,640,994
2020-08,A00,Gedult's Opening,1200,3867,1456,2161,195,631,2829,1152,1549
2020-08,A00,Gedult's Opening,1400,5046,1818,2954,233,913,3878,1467,2230
2020-08,A00,Gedult's Opening,1600,3929,1633,2127,195,537,2952,1224,1605
2020-08,A00,Gedult's Opening,1800,3769,1719,1882,161,416,2652,1172,1364
2020-08,A00,Gedult's Opening,2000,2535,1130,1295,87,209,1782,806,904
2020-08,A00,Gedult's Opening,2200,917,450,418,35,65,626,293,301
2020-08,A00,Gedult's Opening,2400,176,76,88,4,15,104,42,57
2020-08,A00,Global Opening,600,11,7,3,2,2,9,7,2
2020-08,A00,Global Opening,800,90,41,44,6,18,58,25,30
2020-08,A00,Global Opening,1000,368,194,162,42,47,294,159,127
2020-08,A00,Global Opening,1200,785,378,380,60,78,669,339,311
2020-08,A00,Global Opening,1400,622,280,321,40,58,525,251,258
2020-08,A00,Global Opening,1600,316,162,139,17,21,284,153,117
2020-08,A00,Global Opening,1800,51,23,27,2,3,23,12,11
2020-08,A00,Global Opening,2000,40,19,19,3,6,33,16,16
2020-08,A00,Global Opening,2200,8,3,5,1,1,7,2,5
2020-08,A00,Global Opening,2400,1,1,0,0,0,1,1,0
2020-08,A00,Grob Opening,600,309,100,185,29,71,226,80,129
2020-08,A00,Grob Opening,800,2287,864,1301,236,434,1616,651,895
2020-08,A00,Grob Opening,1000,4985,2034,2635,559,891,3809,1643,1964
2020-08,A00,Grob Opening,1200,9113,4037,4606,1054,1158,7277,3381,3577
2020-08,A00,Grob Opening,1400,10578,4729,5339,1035,1287,8411,3889,4169
2020-08,A00,Grob Opening,1600,11124,5222,5464,967,1048,8750,4099,4312
2020-08,A00,Grob Opening,1800,9641,4555,4722,604,619,7304,3470,3558
2020-08,A00,Grob Opening,2000,4884,2236,2391,248,246,3584,1714,1684
2020-08,A00,Grob Opening,2200,642,267,331,26,27,440,199,211
2020-08,A00,Grob Opening,2400,64,30,31,5,4,37,16,19
2020-08,A00,Grob Opening: Alessi Gambit,600,4,2,1,2,0,3,2,0
2020-08,A00,Grob Opening: Alessi Gambit,800,14,7,5,2,1,10,4,4
2020-08,A00,Grob Opening: Alessi Gambit,1000,32,12,12,4,5,18,9,6
2020-08,A00,Grob Opening: Alessi Gambit,1200,54,22,27,8,9,34,15,17
2020-08,A00,Grob Opening: Alessi Gambit,1400,65,33,26,7,4,44,21,19
2020-08,A00,Grob Opening: Alessi Gambit,1600,69,36,27,4,4,50,23,23
2020-08,A00,Grob Opening: Alessi Gambit,1800,60,22,36,6,4,50,18,30
2020-08,A00,Grob Opening: Alessi Gambit,2000,30,14,16,2,3,24,11,13
2020-08,A00,Grob Opening: Alessi Gambit,2200,4,2,2,0,0,3,1,2
2020-08,A00,Grob Opening: Double Grob,600,15,6,8,1,1,11,5,5
2020-08,A00,Grob Opening: Double Grob,800,90,40,40,9,11,58,27,25
2020-08,A00,Grob Opening: Double Grob,1000,147,58,71,12,20,90,34,47
2020-08,A00,Grob Opening: Double Grob,1200,210,99,81,30,16,130,61,50
2020-08,A00,Grob Opening: Double Grob,1400,194,89,79,20,9,125,51,59
2020-08,A00,Grob Opening: Double Grob,1600,130,67,53,11,10,86,42,37
2020-08,A00,Grob Opening: Double Grob,1800,86,54,28,7,4,64,37,24
2020-08,A00,Grob Opening: Double Grob,2000,26,12,13,3,2,20,9,10
2020-08,A00,Grob Opening: Double Grob,2200,7,4,3,1,1,5,3,2
2020-08,A00,Grob Opening: Double Grob,2400,1,1,0,0,0,0,0,0
2020-08,A00,"Grob Opening: Double Grob, Coca-Cola Gambit",600,1,0,1,0,0,0,0,0
2020-08,A00,"Grob Opening: Double Grob, Coca-Cola Gambit",800,4,0,3,0,2,1,0,1
2020-08,A00,"Grob Opening: Double Grob, Coca-Cola Gambit",1000,8,1,3,0,0,4,0,1
2020-08,A00,"Grob Opening: Double Grob, Coca-Cola Gambit",1200,14,3,8,0,3,8,1,4
2020-08,A00,"Grob Opening: Double Grob, Coca-Cola Gambit",1400,8,1,4,0,1,3,1,0
2020-08,A00,Grob Opening: Grob Gambit,600,16,8,7,1,5,11,5,5
2020-08,A00,Grob Opening: Grob Gambit,800,159,84,70,26,26,115,61,49
2020-08,A00,Grob Opening: Grob Gambit,1000,451,203,222,54,66,383,170,191
2020-08,A00,Grob Opening: Grob Gambit,1200,1110,548,521,189,101,975,485,452
2020-08,A00,Grob Opening: Grob Gambit,1400,1367,661,652,173,144,1150,551,555
2020-08,A00,Grob Opening: Grob Gambit,1600,2088,1005,1014,193,204,1726,828,841
2020-08,A00,Grob Opening: Grob Gambit,1800,1984,973,924,156,115,1527,745,711
2020-08,A00,Grob Opening: Grob Gambit,2000,807,411,359,42,42,599,303,270
2020-08,A00,Grob Opening: Grob Gambit,2200,94,41,46,2,1,71,29,36
2020-08,A00,Grob Opening: Grob Gambit,2400,6,4,2,0,1,5,3,2
2020-08,A00,Grob Opening: Grob Gambit Declined,600,1,0,0,0,0,1,0,0
2020-08,A00,Grob Opening: Grob Gambit Declined,800,30,10,20,1,5,21,7,14
2020-08,A00,Grob Opening: Grob Gambit Declined,1000,93,43,49,11,10,79,37,41
2020-08,A00,Grob Opening: Grob Gambit Declined,1200,239,116,115,27,23,198,97,93
2020-08,A00,Grob Opening: Grob Gambit Declined,1400,387,159,210,32,38,303,130,159
2020-08,A00,Grob Opening: Grob Gambit Declined,1600,930,429,472,79,71,691,335,337
2020-08,A00,Grob Opening: Grob Gambit Declined,1800,1489,667,770,103,98,1119,540,537
2020-08,A00,Grob Opening: Grob Gambit Declined,2000,939,429,466,57,34,661,322,306
2020-08,A00,Grob Opening: Grob Gambit Declined,2200,201,92,99,6,12,135,66,61
2020-08,A00,Grob Opening: Grob Gambit Declined,2400,11,5,5,0,2,7,3,3
2020-08,A00,"Grob Opening: Grob Gambit, Basman Gambit",1400,1,0,1,0,0,0,0,0
2020-08,A00,"Grob Opening: Grob Gambit, Basman Gambit",1600,4,0,4,0,0,2,0,2
2020-08,A00,"Grob Opening: Grob Gambit, Basman Gambit",1800,14,7,6,1,0,13,7,5
2020-08,A00,"Grob Opening: Grob Gambit, Basman Gambit",2000,10,4,6,0,1,9,4,5
2020-08,A00,"Grob Opening: Grob Gambit, Basman Gambit",2200,1,0,1,0,0,1,0,1
2020-08,A00,"Grob Opening: Grob Gambit, Fritz Gambit",600,2,0,2,0,2,1,0,1
2020-08,A00,"Grob Opening: Grob Gambit, Fritz Gambit",800,20,11,9,3,1,19,11,8
2020-08,A00,"Grob Opening: Grob Gambit, Fritz Gambit",1000,107,48,53,23,24,95,45,44
2020-08,A00,"Grob Opening: Grob Gambit, Fritz Gambit",1200,446,244,191,93,56,393,217,166
2020-08,A00,"Grob Opening: Grob Gambit, Fritz Gambit",1400,1197,668,488,252,117,1006,575,396
2020-08,A00,"Grob Opening: Grob Gambit, Fritz Gambit",1600,2637,1509,1042,513,196,2115,1264,782
2020-08,A00,"Grob Opening: Grob Gambit, Fritz Gambit",1800,3422,1923,1383,549,198,2706,1551,1068
2020-08,A00,"Grob Opening: Grob Gambit, Fritz Gambit",2000,1526,849,612,182,95,1161,663,449
2020-08,A00,"Grob Opening: Grob Gambit, Fritz Gambit",2200,211,109,90,24,17,151,78,63
2020-08,A00,"Grob Opening: Grob Gambit, Fritz Gambit",2400,13,8,4,1,0,9,6,3
2020-08,A00,"Grob Opening: Grob Gambit, Keres Gambit",1000,1,0,1,0,1,1,0,1
2020-08,A00,"Grob Opening: Grob Gambit, Keres Gambit",1200,1,0,1,0,0,1,0,1
2020-08,A00,"Grob Opening: Grob Gambit, Keres Gambit",1600,1,1,0,1,0,1,1,0
2020-08,A00,"Grob Opening: Grob Gambit, Richter-Grob Gambit",1400,9,2,7,0,0,7,1,6
2020-08,A00,"Grob Opening: Grob Gambit, Richter-Grob Gambit",1600,14,5,9,2,0,10,4,6
2020-08,A00,"Grob Opening: Grob Gambit, Richter-Grob Gambit",1800,17,4,12,0,3,8,3,5
2020-08,A00,"Grob Opening: Grob Gambit, Richter-Grob Gambit",2000,34,12,21,3,1,19,6,12
2020-08,A00,"Grob Opening: Grob Gambit, Richter-Grob Gambit",2200,3,1,2,0,0,1,0,1
