month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2021-02,A00,Amar Gambit,800,1,0,1,0,1,0,0,0
2021-02,A00,Amar Gambit,1000,1,1,0,1,0,1,1,0
2021-02,A00,Amar Gambit,1400,1,0,1,0,1,0,0,0
2021-02,A00,Amar Gambit,1800,2,0,2,0,1,2,0,2
2021-02,A00,Amar Gambit,2200,1,0,1,0,0,1,0,1
2021-02,A00,Amar Opening,600,750,291,385,81,126,489,197,246
2021-02,A00,Amar Opening,800,2032,785,1073,213,311,1290,536,658
2021-02,A00,Amar Opening,1000,2581,932,1419,217,415,1539,610,812
2021-02,A00,Amar Opening,1200,2408,805,1334,159,382,1222,470,629
2021-02,A00,Amar Opening,1400,2187,733,1264,106,306,1260,492,674
2021-02,A00,Amar Opening,1600,1553,634,811,88,166,954,417,473
2021-02,A00,Amar Opening,1800,1256,595,608,73,104,800,384,382
2021-02,A00,Amar Opening,2000,1029,528,460,47,40,724,360,329
2021-02,A00,Amar Opening,2200,333,153,164,17,22,246,114,118
2021-02,A00,Amar Opening,2400,48,20,26,2,4,25,8,15
2021-02,A00,Amar Opening: Gent Gambit,1800,2,0,2,0,2,1,0,1
2021-02,A00,Amar Opening: Gent Gambit,2000,1,1,0,0,0,1,1,0
2021-02,A00,Amar Opening: Paris Gambit,600,5,2,3,1,1,5,2,3
2021-02,A00,Amar Opening: Paris Gambit,800,43,26,15,6,4,29,18,10
2021-02,A00,Amar Opening: Paris Gambit,1000,126,40,78,10,21,113,34,71
2021-02,A00,Amar Opening: Paris Gambit,1200,120,49,69,13,21,112,46,64
2021-02,A00,Amar Opening: Paris Gambit,1400,90,35,55,6,14,81,33,48
2021-02,A00,Amar Opening: Paris Gambit,1600,87,38,48,9,11,69,28,40
2021-02,A00,Amar Opening: Paris Gambit,1800,32,16,15,8,6,24,12,11
2021-02,A00,Amar Opening: Paris Gambit,2000,23,12,10,1,1,18,9,9
2021-02,A00,Amar Opening: Paris Gambit,2200,6,2,3,0,1,3,1,2
2021-02,A00,Amar Opening: Paris Gambit,2400,2,2,0,0,0,2,2,0
2021-02,A00,Amsterdam Attack,600,3,3,0,0,0,3,3,0
2021-02,A00,Amsterdam Attack,800,6,5,0,1,0,5,4,0
2021-02,A00,Amsterdam Attack,1000,10,5,5,0,0,10,5,5
2021-02,A00,Amsterdam Attack,1200,20,10,9,2,1,18,9,8
2021-02,A00,Amsterdam Attack,1400,22,5,15,1,2,19,3,15
2021-02,A00,Amsterdam Attack,1600,16,7,9,1,0,15,6,9
2021-02,A00,Amsterdam Attack,1800,8,2,6,1,1,7,2,5
2021-02,A00,Amsterdam Attack,2000,4,3,1,0,0,2,1,1
2021-02,A00,Anderssen Opening,600,369,117,193,20,45,237,86,118
2021-02,A00,Anderssen Opening,800,1097,379,581,74,144,656,247,341
2021-02,A00,Anderssen Opening,1000,2171,823,1116,145,295,1422,593,706
2021-02,A00,Anderssen Opening,1200,3754,1553,1783,250,327,2667,1188,1248
2021-02,A00,Anderssen Opening,1400,5451,2368,2666,334,472,4305,1974,2085
2021-02,A00,Anderssen Opening,1600,4688,2173,2260,273,273,3726,1803,1747
2021-02,A00,Anderssen Opening,1800,3621,1744,1714,193,247,2716,1280,1305
2021-02,A00,Anderssen Opening,2000,3496,1714,1542,161,163,2720,1304,1222
2021-02,A00,Anderssen Opening,2200,1256,525,638,30,76,922,413,440
2021-02,A00,Anderssen Opening,2400,143,66,63,4,7,98,41,47
2021-02,A00,Anderssen Opening: Polish Gambit,600,4,2,2,0,2,3,2,1
2021-02,A00,Anderssen Opening: Polish Gambit,800,5,4,1,0,0,4,4,0
2021-02,A00,Anderssen Opening: Polish Gambit,1000,11,6,4,0,0,6,2,4
2021-02,A00,Anderssen Opening: Polish Gambit,1200,24,14,8,4,1,15,8,7
2021-02,A00,Anderssen Opening: Polish Gambit,1400,29,10,12,5,0,19,8,8
2021-02,A00,Anderssen Opening: Polish Gambit,1600,9,5,3,1,1,8,4,3
2021-02,A00,Anderssen Opening: Polish Gambit,1800,7,3,2,0,0,5,3,1
2021-02,A00,Anderssen Opening: Polish Gambit,2000,5,4,0,0,0,4,3,0
2021-02,A00,Barnes Opening: Fool's Mate,600,25,0,25,0,25,23,0,23
2021-02,A00,Barnes Opening: Fool's Mate,800,45,0,45,0,45,30,0,30
2021-02,A00,Barnes Opening: Fool's Mate,1000,74,0,74,0,74,40,0,40
2021-02,A00,Barnes Opening: Fool's Mate,1200,85,0,85,0,85,49,0,49
2021-02,A00,Barnes Opening: Fool's Mate,1400,72,0,72,0,72,38,0,38
2021-02,A00,Barnes Opening: Fool's Mate,1600,46,0,46,0,46,21,0,21
2021-02,A00,Barnes Opening: Fool's Mate,1800,27,0,27,0,27,22,0,22
2021-02,A00,Barnes Opening: Fool's Mate,2000,22,0,22,0,22,11,0,11
2021-02,A00,Barnes Opening: Fool's Mate,2200,15,0,15,0,15,12,0,12
2021-02,A00,Barnes Opening: Fool's Mate,2400,2,0,2,0,2,2,0,2
2021-02,A00,Barnes Opening: Gedult Gambit,600,1,1,0,1,0,1,1,0
2021-02,A00,Barnes Opening: Gedult Gambit,800,4,1,3,1,1,3,0,3
2021-02,A00,Barnes Opening: Gedult Gambit,1000,6,5,1,0,0,4,3,1
2021-02,A00,Barnes Opening: Gedult Gambit,1200,2,1,1,1,0,2,1,1
2021-02,A00,Barnes Opening: Gedult Gambit,1400,1,1,0,1,0,1,1,0
2021-02,A00,Barnes Opening: Gedult Gambit,1600,8,3,5,2,0,8,3,5
2021-02,A00,Barnes Opening: Gedult Gambit,1800,9,5,4,1,1,6,2,4
2021-02,A00,Barnes Opening: Gedult Gambit,2000,7,2,5,0,0,5,1,4
2021-02,A00,Barnes Opening: Gedult Gambit,2200,3,0,3,0,0,2,0,2
2021-02,A00,Barnes Opening: Gedult Gambit,2400,3,1,2,0,0,2,0,2
2021-02,A00,Barnes Opening: Hammerschlag,600,43,18,20,0,12,29,13,12
2021-02,A00,Barnes Opening: Hammerschlag,800,259,114,138,27,44,208,92,111
2021-02,A00,Barnes Opening: Hammerschlag,1000,465,216,237,36,63,399,185,203
2021-02,A00,Barnes Opening: Hammerschlag,1200,368,162,195,20,66,316,137,171
2021-02,A00,Barnes Opening: Hammerschlag,1400,463,233,219,32,74,396,197,188
2021-02,A00,Barnes Opening: Hammerschlag,1600,485,221,238,18,77,428,191,216
2021-02,A00,Barnes Opening: Hammerschlag,1800,535,244,273,20,63,460,203,241
2021-02,A00,Barnes Opening: Hammerschlag,2000,249,117,127,5,31,185,82,99
2021-02,A00,Barnes Opening: Hammerschlag,2200,125,44,76,2,21,85,31,52
2021-02,A00,Barnes Opening: Hammerschlag,2400,14,6,8,0,4,11,5,6
2021-02,A00,Caro-Kann Defense: Labahn Attack,600,42,21,19,8,8,29,16,11
2021-02,A00,Caro-Kann Defense: Labahn Attack,800,110,55,49,14,12,92,45,42
2021-02,A00,Caro-Kann Defense: Labahn Attack,1000,110,54,51,19,10,93,44,44
2021-02,A00,Caro-Kann Defense: Labahn Attack,1200,97,44,46,5,13,74,39,32
2021-02,A00,Caro-Kann Defense: Labahn Attack,1400,71,30,36,8,14,52,27,20
2021-02,A00,Caro-Kann Defense: Labahn Attack,1600,54,21,29,1,9,41,17,20
2021-02,A00,Caro-Kann Defense: Labahn Attack,1800,68,18,47,4,4,53,15,36
2021-02,A00,Caro-Kann Defense: Labahn Attack,2000,27,9,17,0,4,16,3,12
2021-02,A00,Caro-Kann Defense: Labahn Attack,2200,12,4,7,0,1,7,3,3
2021-02,A00,Caro-Kann Defense: Labahn Attack,2400,1,1,0,0,0,1,1,0
2021-02,A00,Clemenz Opening,600,598,168,348,44,119,369,112,210
2021-02,A00,Clemenz Opening,800,1863,573,1051,109,334,1054,357,587
2021-02,A00,Clemenz Opening,1000,3800,1283,2026,206,539,2285,875,1186
2021-02,A00,Clemenz Opening,1200,5826,2065,2974,283,669,3612,1469,1761
2021-02,A00,Clemenz Opening,1400,5860,2222,2951,274,582,4135,1743,2010
2021-02,A00,Clemenz Opening,1600,3713,1504,1930,171,312,2596,1118,1326
2021-02,A00,Clemenz Opening,1800,2383,1053,1234,92,269,1789,806,911
2021-02,A00,Clemenz Opening,2000,919,437,439,33,87,598,281,292
2021-02,A00,Clemenz Opening,2200,660,319,314,24,33,550,261,265
2021-02,A00,Clemenz Opening,2400,71,31,27,1,6,50,19,21
2021-02,A00,Clemenz Opening: Spike Lee Gambit,600,3,0,3,0,1,2,0,2
2021-02,A00,Clemenz Opening: Spike Lee Gambit,800,15,4,4,0,0,9,2,3
2021-02,A00,Clemenz Opening: Spike Lee Gambit,1000,9,3,4,1,0,5,2,2
2021-02,A00,Clemenz Opening: Spike Lee Gambit,1200,18,8,4,1,0,8,2,3
2021-02,A00,Clemenz Opening: Spike Lee Gambit,1400,14,3,6,0,2,11,3,3
2021-02,A00,Clemenz Opening: Spike Lee Gambit,1600,8,2,3,1,0,3,2,1
2021-02,A00,Clemenz Opening: Spike Lee Gambit,1800,4,1,1,0,0,1,0,1
2021-02,A00,Clemenz Opening: Spike Lee Gambit,2000,1,1,0,0,0,0,0,0
2021-02,A00,Crab Opening,600,198,66,112,24,50,137,50,74
2021-02,A00,Crab Opening,800,584,209,333,54,126,406,163,213
2021-02,A00,Crab Opening,1000,903,334,515,56,176,672,280,355
2021-02,A00,Crab Opening,1200,936,323,553,57,185,675,268,371
2021-02,A00,Crab Opening,1400,681,244,398,34,113,466,190,258
2021-02,A00,Crab Opening,1600,404,170,220,27,54,283,135,137
2021-02,A00,Crab Opening,1800,188,87,94,7,19,141,66,70
2021-02,A00,Crab Opening,2000,88,41,42,7,5,62,29,29
2021-02,A00,Crab Opening,2200,18,7,10,0,1,10,4,6
2021-02,A00,Crab Opening,2400,9,6,3,0,0,7,5,2
2021-02,A00,Creepy Crawly Formation: Classical Defense,600,15,5,10,0,6,11,3,8
2021-02,A00,Creepy Crawly Formation: Classical Defense,800,128,45,70,9,21,105,39,58
2021-02,A00,Creepy Crawly Formation: Classical Defense,1000,301,113,182,19,39,232,92,134
2021-02,A00,Creepy Crawly Formation: Classical Defense,1200,1048,489,502,74,81,937,440,453
2021-02,A00,Creepy Crawly Formation: Classical Defense,1400,1118,497,581,52,76,971,440,502
2021-02,A00,Creepy Crawly Formation: Classical Defense,1600,695,300,367,33,42,602,273,302
2021-02,A00,Creepy Crawly Formation: Classical Defense,1800,197,81,110,11,21,149,58,86
2021-02,A00,Creepy Crawly Formation: Classical Defense,2000,194,98,86,10,16,171,88,75
2021-02,A00,Creepy Crawly Formation: Classical Defense,2200,90,41,47,0,3,81,35,44
2021-02,A00,Creepy Crawly Formation: Classical Defense,2400,23,10,13,1,1,15,7,8
2021-02,A00,Englund Gambit Declined: Reversed French,600,2085,1090,892,383,255,1566,812,674
2021-02,A00,Englund Gambit Declined: Reversed French,800,9289,4538,4249,1337,1123,7361,3645,3328
2021-02,A00,Englund Gambit Declined: Reversed French,1000,16592,7952,7868,2007,1866,13908,6698,6571
2021-02,A00,Englund Gambit Declined: Reversed French,1200,18066,8608,8701,1972,1845,15154,7316,7198
2021-02,A00,Englund Gambit Declined: Reversed French,1400,17775,8480,8560,1661,1639,14702,7081,7002
2021-02,A00,Englund Gambit Declined: Reversed French,1600,14909,7388,6926,1154,1144,12172,6041,5632
2021-02,A00,Englund Gambit Declined: Reversed French,1800,11029,5556,4963,715,654,8860,4421,4000
2021-02,A00,Englund Gambit Declined: Reversed French,2000,4085,1985,1853,205,203,3038,1469,1384
2021-02,A00,Englund Gambit Declined: Reversed French,2200,807,377,371,39,40,556,271,248
2021-02,A00,Englund Gambit Declined: Reversed French,2400,137,72,53,6,2,88,47,34
2021-02,A00,Formation: Hippopotamus Attack,1000,5,1,4,0,1,3,1,2
2021-02,A00,Formation: Hippopotamus Attack,1200,3,1,2,0,0,2,1,1
2021-02,A00,Formation: Hippopotamus Attack,1400,2,0,1,0,1,2,0,1
2021-02,A00,Formation: Hippopotamus Attack,1600,1,0,1,0,1,0,0,0
