month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2020-12,A00,Amar Gambit,1200,1,0,1,0,1,0,0,0
2020-12,A00,Amar Gambit,1400,1,0,1,0,1,0,0,0
2020-12,A00,Amar Gambit,1800,1,0,1,0,1,1,0,1
2020-12,A00,Amar Opening,600,505,191,272,58,74,342,136,176
2020-12,A00,Amar Opening,800,1609,569,891,160,262,997,381,540
2020-12,A00,Amar Opening,1000,2189,716,1250,174,379,1229,440,670
2020-12,A00,Amar Opening,1200,2045,643,1180,133,343,963,344,529
2020-12,A00,Amar Opening,1400,1708,540,964,89,292,850,312,435
2020-12,A00,Amar Opening,1600,1334,515,728,75,148,722,295,377
2020-12,A00,Amar Opening,1800,1290,633,612,85,82,800,413,355
2020-12,A00,Amar Opening,2000,715,322,345,32,34,469,218,213
2020-12,A00,Amar Opening,2200,196,92,97,8,12,129,61,62
2020-12,A00,Amar Opening,2400,97,43,51,3,2,65,26,37
2020-12,A00,Amar Opening: Gent Gambit,1200,1,0,1,0,0,1,0,1
2020-12,A00,Amar Opening: Gent Gambit,1400,1,1,0,0,0,1,1,0
2020-12,A00,Amar Opening: Gent Gambit,1600,2,0,2,0,0,2,0,2
2020-12,A00,Amar Opening: Gent Gambit,1800,1,0,1,0,0,0,0,0
2020-12,A00,Amar Opening: Gent Gambit,2000,1,1,0,0,0,1,1,0
2020-12,A00,Amar Opening: Paris Gambit,600,3,1,2,0,2,3,1,2
2020-12,A00,Amar Opening: Paris Gambit,800,6,1,5,0,1,6,1,5
2020-12,A00,Amar Opening: Paris Gambit,1000,4,2,2,0,1,2,1,1
2020-12,A00,Amar Opening: Paris Gambit,1200,3,2,1,0,1,2,1,1
2020-12,A00,Amar Opening: Paris Gambit,1400,16,6,8,1,3,13,4,7
2020-12,A00,Amar Opening: Paris Gambit,1600,25,11,14,4,2,21,9,12
2020-12,A00,Amar Opening: Paris Gambit,1800,7,4,3,0,1,6,4,2
2020-12,A00,Amar Opening: Paris Gambit,2000,5,2,3,2,0,3,1,2
2020-12,A00,Amar Opening: Paris Gambit,2200,5,3,1,2,0,1,0,1
2020-12,A00,Amsterdam Attack,600,1,0,1,0,0,1,0,1
2020-12,A00,Amsterdam Attack,800,3,2,1,0,0,3,2,1
2020-12,A00,Amsterdam Attack,1000,15,5,10,1,1,13,5,8
2020-12,A00,Amsterdam Attack,1200,24,14,9,3,1,21,12,8
2020-12,A00,Amsterdam Attack,1400,18,13,5,4,1,17,12,5
2020-12,A00,Amsterdam Attack,1600,17,7,10,0,0,12,6,6
2020-12,A00,Amsterdam Attack,1800,5,5,0,1,0,5,5,0
2020-12,A00,Amsterdam Attack,2000,2,1,1,0,0,2,1,1
2020-12,A00,Anderssen Opening,600,385,167,194,35,40,261,123,124
2020-12,A00,Anderssen Opening,800,903,323,482,70,121,570,228,285
2020-12,A00,Anderssen Opening,1000,1771,683,919,125,223,1193,497,615
2020-12,A00,Anderssen Opening,1200,4001,1715,1983,313,407,3049,1393,1490
2020-12,A00,Anderssen Opening,1400,5769,2580,2856,365,471,4653,2205,2221
2020-12,A00,Anderssen Opening,1600,5132,2362,2520,308,350,4124,1939,1988
2020-12,A00,Anderssen Opening,1800,4032,1883,1958,237,266,3123,1435,1543
2020-12,A00,Anderssen Opening,2000,3017,1501,1322,145,152,2317,1146,1029
2020-12,A00,Anderssen Opening,2200,1096,546,457,37,44,808,417,319
2020-12,A00,Anderssen Opening,2400,202,73,105,1,16,139,49,72
2020-12,A00,Anderssen Opening: Polish Gambit,600,3,2,0,2,0,1,0,0
2020-12,A00,Anderssen Opening: Polish Gambit,800,11,3,5,1,0,7,2,3
2020-12,A00,Anderssen Opening: Polish Gambit,1000,13,4,6,1,1,7,1,5
2020-12,A00,Anderssen Opening: Polish Gambit,1200,20,7,11,2,3,12,4,7
2020-12,A00,Anderssen Opening: Polish Gambit,1400,23,14,6,3,1,13,10,2
2020-12,A00,Anderssen Opening: Polish Gambit,1600,11,4,6,0,0,9,3,6
2020-12,A00,Anderssen Opening: Polish Gambit,1800,11,5,6,1,0,10,4,6
2020-12,A00,Anderssen Opening: Polish Gambit,2000,6,3,3,0,0,3,0,3
2020-12,A00,Anderssen Opening: Polish Gambit,2200,2,1,1,0,0,0,0,0
2020-12,A00,Barnes Opening: Fool's Mate,600,17,0,17,0,17,13,0,13
2020-12,A00,Barnes Opening: Fool's Mate,800,42,0,42,0,42,24,0,24
2020-12,A00,Barnes Opening: Fool's Mate,1000,63,0,63,0,63,39,0,39
2020-12,A00,Barnes Opening: Fool's Mate,1200,65,0,65,0,65,33,0,33
2020-12,A00,Barnes Opening: Fool's Mate,1400,78,0,78,0,78,45,0,45
2020-12,A00,Barnes Opening: Fool's Mate,1600,42,0,42,0,42,19,0,19
2020-12,A00,Barnes Opening: Fool's Mate,1800,38,0,38,0,38,24,0,24
2020-12,A00,Barnes Opening: Fool's Mate,2000,13,0,13,0,13,3,0,3
2020-12,A00,Barnes Opening: Fool's Mate,2200,8,0,8,0,8,1,0,1
2020-12,A00,Barnes Opening: Fool's Mate,2400,1,0,1,0,1,1,0,1
2020-12,A00,Barnes Opening: Gedult Gambit,1000,4,2,2,0,0,4,2,2
2020-12,A00,Barnes Opening: Gedult Gambit,1200,5,2,2,0,0,5,2,2
2020-12,A00,Barnes Opening: Gedult Gambit,1400,5,3,2,0,1,5,3,2
2020-12,A00,Barnes Opening: Gedult Gambit,1600,4,3,1,1,0,2,2,0
2020-12,A00,Barnes Opening: Gedult Gambit,1800,13,9,4,3,1,11,7,4
2020-12,A00,Barnes Opening: Gedult Gambit,2000,11,4,7,0,2,7,3,4
2020-12,A00,Barnes Opening: Gedult Gambit,2200,2,2,0,0,0,2,2,0
2020-12,A00,Barnes Opening: Gedult Gambit,2400,1,0,1,0,0,0,0,0
2020-12,A00,Barnes Opening: Hammerschlag,600,22,9,12,3,7,18,6,12
2020-12,A00,Barnes Opening: Hammerschlag,800,177,105,68,16,18,131,83,45
2020-12,A00,Barnes Opening: Hammerschlag,1000,341,145,186,21,70,298,128,161
2020-12,A00,Barnes Opening: Hammerschlag,1200,303,134,162,19,63,263,116,142
2020-12,A00,Barnes Opening: Hammerschlag,1400,325,126,185,17,52,278,100,164
2020-12,A00,Barnes Opening: Hammerschlag,1600,384,171,196,27,62,332,140,178
2020-12,A00,Barnes Opening: Hammerschlag,1800,378,156,206,13,54,324,130,180
