month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2021-10,A00,Amar Gambit,1600,2,2,0,0,0,2,2,0
2021-10,A00,Amar Gambit,1800,2,2,0,1,0,2,2,0
2021-10,A00,Amar Gambit,2000,3,0,3,0,1,2,0,2
2021-10,A00,Amar Gambit,2200,1,1,0,1,0,1,1,0
2021-10,A00,Amar Opening,600,622,235,328,65,108,419,177,209
2021-10,A00,Amar Opening,800,1735,634,929,174,256,996,384,524
2021-10,A00,Amar Opening,1000,2188,748,1182,128,336,1117,415,600
2021-10,A00,Amar Opening,1200,2048,668,1137,125,323,907,325,487
2021-10,A00,Amar Opening,1400,1845,699,976,122,249,1007,420,504
2021-10,A00,Amar Opening,1600,1139,452,618,88,140,559,242,282
2021-10,A00,Amar Opening,1800,1224,537,630,77,95,742,357,349
2021-10,A00,Amar Opening,2000,1042,518,478,48,58,765,384,349
2021-10,A00,Amar Opening,2200,384,175,189,25,19,268,132,121
2021-10,A00,Amar Opening,2400,167,72,86,7,6,124,51,66
2021-10,A00,Amar Opening: Gent Gambit,1800,1,0,1,0,1,0,0,0
2021-10,A00,Amar Opening: Paris Gambit,800,4,3,1,0,1,3,2,1
2021-10,A00,Amar Opening: Paris Gambit,1000,12,8,4,1,0,11,7,4
2021-10,A00,Amar Opening: Paris Gambit,1200,8,4,3,1,1,5,2,2
2021-10,A00,Amar Opening: Paris Gambit,1400,3,2,1,1,1,2,1,1
2021-10,A00,Amar Opening: Paris Gambit,1600,10,5,5,0,2,9,5,4
2021-10,A00,Amar Opening: Paris Gambit,1800,15,8,5,2,0,10,6,4
2021-10,A00,Amar Opening: Paris Gambit,2000,12,5,7,1,1,11,4,7
2021-10,A00,Amar Opening: Paris Gambit,2200,2,0,2,0,0,2,0,2
2021-10,A00,Amar Opening: Paris Gambit,2400,8,4,3,2,0,6,2,3
2021-10,A00,Amsterdam Attack,600,2,1,0,1,0,2,1,0
2021-10,A00,Amsterdam Attack,800,4,4,0,0,0,3,3,0
2021-10,A00,Amsterdam Attack,1000,7,5,1,2,0,6,4,1
2021-10,A00,Amsterdam Attack,1200,10,3,5,0,1,10,3,5
2021-10,A00,Amsterdam Attack,1400,23,14,8,2,2,21,13,7
2021-10,A00,Amsterdam Attack,1600,13,4,9,1,2,10,3,7
2021-10,A00,Amsterdam Attack,1800,9,7,2,1,0,5,3,2
2021-10,A00,Amsterdam Attack,2000,5,3,2,0,0,4,2,2
2021-10,A00,Anderssen's Opening,600,287,87,163,22,60,162,53,87
2021-10,A00,Anderssen's Opening,800,1099,396,580,87,133,613,245,314
2021-10,A00,Anderssen's Opening,1000,2900,1031,1548,190,544,1953,725,1098
2021-10,A00,Anderssen's Opening,1200,3820,1525,1803,211,331,2587,1176,1200
2021-10,A00,Anderssen's Opening,1400,5290,2210,2655,335,506,4231,1905,2056
2021-10,A00,Anderssen's Opening,1600,5053,2292,2515,323,373,4137,1951,1998
2021-10,A00,Anderssen's Opening,1800,4279,2057,2014,234,236,3353,1642,1554
2021-10,A00,Anderssen's Opening,2000,3272,1531,1523,140,132,2432,1127,1138
2021-10,A00,Anderssen's Opening,2200,1827,863,849,84,81,1412,697,633
2021-10,A00,Anderssen's Opening,2400,455,208,203,18,17,348,159,153
2021-10,A00,Anderssen's Opening: Polish Gambit,600,2,1,0,0,0,0,0,0
2021-10,A00,Anderssen's Opening: Polish Gambit,800,6,2,4,0,1,2,1,1
2021-10,A00,Anderssen's Opening: Polish Gambit,1000,8,4,3,0,0,5,3,2
2021-10,A00,Anderssen's Opening: Polish Gambit,1200,28,11,13,0,3,18,7,8
2021-10,A00,Anderssen's Opening: Polish Gambit,1400,20,6,8,1,1,9,5,3
2021-10,A00,Anderssen's Opening: Polish Gambit,1600,7,2,4,0,1,6,1,4
2021-10,A00,Anderssen's Opening: Polish Gambit,1800,12,3,9,1,3,10,3,7
2021-10,A00,Anderssen's Opening: Polish Gambit,2000,11,6,5,2,0,8,4,4
