month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2019-02,A00,Anderssen Opening,1200,2,1,1,0,1,2,1,1
2019-02,A00,Anderssen Opening,1400,2,2,0,0,0,2,2,0
2019-02,A00,Anderssen Opening,1600,1,0,1,0,0,0,0,0
2019-02,A00,Anderssen Opening,1800,4,2,2,0,0,2,1,1
2019-02,A00,Anderssen Opening,2000,1,1,0,0,0,0,0,0
2019-02,A00,Anderssen Opening,2200,1,0,1,0,0,1,0,1
2019-02,A00,Clemenz Opening,800,1,0,1,0,0,1,0,1
2019-02,A00,Clemenz Opening,1000,1,0,1,0,0,0,0,0
2019-02,A00,Clemenz Opening,1400,1,0,1,0,0,0,0,0
2019-02,A00,Clemenz Opening,1600,1,0,1,0,0,0,0,0
2019-02,A00,Clemenz Opening,1800,1,1,0,0,0,1,1,0
2019-02,A00,Crab Opening,1200,1,1,0,1,0,1,1,0
2019-02,A00,Gedult's Opening,800,1,0,1,0,1,1,0,1
2019-02,A00,Gedult's Opening,1000,1,0,1,0,0,1,0,1
2019-02,A00,Gedult's Opening,1200,3,2,1,0,0,2,1,1
2019-02,A00,Gedult's Opening,1400,1,1,0,0,0,1,1,0
2019-02,A00,Gedult's Opening,1600,1,0,1,0,1,1,0,1
2019-02,A00,Gedult's Opening,1800,3,1,2,0,0,2,1,1
2019-02,A00,Grob Opening,800,4,2,2,0,1,4,2,2
2019-02,A00,Grob Opening,1000,1,1,0,0,0,1,1,0
2019-02,A00,Grob Opening,1200,5,2,3,0,2,4,2,2
2019-02,A00,Grob Opening,1400,7,5,1,0,0,6,4,1
2019-02,A00,Grob Opening,1600,1,0,1,0,1,1,0,1
2019-02,A00,Grob Opening,1800,2,2,0,2,0,1,1,0
2019-02,A00,Grob Opening,2000,2,0,2,0,1,1,0,1
2019-02,A00,Grob Opening: Alessi Gambit,1000,1,0,1,0,0,1,0,1
2019-02,A00,Grob Opening: Grob Gambit,1000,1,0,1,0,1,0,0,0
2019-02,A00,Grob Opening: Grob Gambit,1200,2,2,0,1,0,2,2,0
2019-02,A00,Grob Opening: Grob Gambit,1400,1,1,0,0,0,1,1,0
2019-02,A00,Grob Opening: Grob Gambit,1600,3,0,3,0,0,3,0,3
2019-02,A00,Grob Opening: Grob Gambit,1800,1,0,1,0,0,0,0,0
2019-02,A00,"Grob Opening: Grob Gambit, Fritz Gambit",1600,2,1,1,1,0,1,0,1
2019-02,A00,"Grob Opening: Grob Gambit, Fritz Gambit",1800,4,2,1,0,0,2,1,0
2019-02,A00,"Grob Opening: Grob Gambit, Fritz Gambit",2000,5,0,5,0,3,1,0,1
2019-02,A00,"Grob Opening: Spike, Hurst Attack",1400,2,1,1,0,0,2,1,1
2019-02,A00,"Grob Opening: Spike, Hurst Attack",1600,1,0,1,0,1,1,0,1
2019-02,A00,Hungarian Opening,800,10,5,5,2,1,6,2,4
2019-02,A00,Hungarian Opening,1000,32,15,15,4,5,26,12,12
2019-02,A00,Hungarian Opening,1200,39,17,18,4,3,33,16,13
2019-02,A00,Hungarian Opening,1400,34,19,14,1,4,31,16,14
2019-02,A00,Hungarian Opening,1600,33,15,16,2,1,21,5,14
2019-02,A00,Hungarian Opening,1800,7,3,3,1,0,2,2,0
2019-02,A00,Hungarian Opening,2000,3,2,1,0,0,2,1,1
2019-02,A00,Hungarian Opening: Catalan Formation,1000,1,1,0,0,0,1,1,0
2019-02,A00,Hungarian Opening: Catalan Formation,1200,7,2,4,1,2,6,2,3
2019-02,A00,Hungarian Opening: Catalan Formation,1400,1,0,1,0,0,1,0,1
2019-02,A00,Hungarian Opening: Catalan Formation,1600,1,0,1,0,0,1,0,1
2019-02,A00,Hungarian Opening: Dutch Defense,800,1,1,0,0,0,1,1,0
2019-02,A00,Hungarian Opening: Dutch Defense,1600,1,1,0,0,0,1,1,0
2019-02,A00,Hungarian Opening: Indian Defense,1000,2,0,2,0,0,2,0,2
2019-02,A00,Hungarian Opening: Indian Defense,1200,4,1,3,0,1,4,1,3
2019-02,A00,Hungarian Opening: Indian Defense,1400,3,1,2,1,0,3,1,2
2019-02,A00,Hungarian Opening: Indian Defense,1600,1,0,1,0,1,1,0,1
2019-02,A00,Hungarian Opening: Indian Defense,1800,1,0,1,0,0,0,0,0
2019-02,A00,Hungarian Opening: Indian Defense,2000,1,1,0,0,0,1,1,0
2019-02,A00,Hungarian Opening: Reversed Alekhine,800,1,0,1,0,1,0,0,0
2019-02,A00,Hungarian Opening: Reversed Alekhine,1000,1,1,0,0,0,0,0,0
2019-02,A00,Hungarian Opening: Reversed Alekhine,1200,2,1,0,0,0,2,1,0
2019-02,A00,Hungarian Opening: Reversed Alekhine,1400,1,1,0,1,0,1,1,0
2019-02,A00,Hungarian Opening: Reversed Modern Defense,1400,2,2,0,1,0,2,2,0
2019-02,A00,Hungarian Opening: Reversed Modern Defense,1600,1,1,0,1,0,1,1,0
2019-02,A00,Hungarian Opening: Sicilian Invitation,1000,1,0,1,0,0,1,0,1
2019-02,A00,Hungarian Opening: Sicilian Invitation,1400,3,1,2,0,1,3,1,2
2019-02,A00,Hungarian Opening: Sicilian Invitation,1600,9,7,1,0,0,4,2,1
2019-02,A00,Hungarian Opening: Sicilian Invitation,2000,1,1,0,0,0,0,0,0
2019-02,A00,Hungarian Opening: Slav Formation,800,2,1,1,1,0,1,0,1
2019-02,A00,Hungarian Opening: Slav Formation,1000,2,2,0,0,0,2,2,0
2019-02,A00,Hungarian Opening: Slav Formation,1200,2,0,2,0,1,1,0,1
2019-02,A00,Hungarian Opening: Slav Formation,1400,3,1,2,0,0,2,1,1
2019-02,A00,Hungarian Opening: Slav Formation,1600,4,1,3,0,0,4,1,3
2019-02,A00,Hungarian Opening: Slav Formation,1800,5,3,2,0,0,2,2,0
2019-02,A00,Hungarian Opening: Slav Formation,2000,1,0,1,0,0,1,0,1
2019-02,A00,Hungarian Opening: Symmetrical Variation,1000,2,2,0,0,0,2,2,0
