month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2020-11,A00,Amar Gambit,800,1,0,1,0,0,0,0,0
2020-11,A00,Amar Gambit,1200,1,0,1,0,0,0,0,0
2020-11,A00,Amar Gambit,1600,1,0,1,0,0,1,0,1
2020-11,A00,Amar Gambit,1800,2,0,2,0,1,1,0,1
2020-11,A00,Amar Gambit,2200,2,2,0,0,0,2,2,0
2020-11,A00,Amar Opening,600,522,201,269,55,76,318,122,169
2020-11,A00,Amar Opening,800,1507,570,790,148,235,896,350,466
2020-11,A00,Amar Opening,1000,2263,721,1277,182,386,1194,429,635
2020-11,A00,Amar Opening,1200,2359,717,1320,121,369,983,358,508
2020-11,A00,Amar Opening,1400,2384,852,1288,137,337,1248,506,624
2020-11,A00,Amar Opening,1600,1117,440,593,67,161,500,221,248
2020-11,A00,Amar Opening,1800,964,458,470,50,79,619,293,304
2020-11,A00,Amar Opening,2000,552,265,257,28,37,364,174,170
2020-11,A00,Amar Opening,2200,271,127,124,10,11,187,87,85
2020-11,A00,Amar Opening,2400,111,54,53,2,6,86,42,41
2020-11,A00,Amar Opening: Gent Gambit,2000,1,1,0,0,0,1,1,0
2020-11,A00,Amar Opening: Paris Gambit,1000,6,4,2,2,1,4,3,1
2020-11,A00,Amar Opening: Paris Gambit,1200,5,3,2,0,1,5,3,2
2020-11,A00,Amar Opening: Paris Gambit,1400,7,3,4,2,2,5,2,3
2020-11,A00,Amar Opening: Paris Gambit,1600,14,5,8,1,0,12,5,6
2020-11,A00,Amar Opening: Paris Gambit,1800,9,4,5,0,1,8,3,5
2020-11,A00,Amar Opening: Paris Gambit,2000,5,3,1,0,0,1,0,1
2020-11,A00,Amar Opening: Paris Gambit,2200,2,0,1,0,0,0,0,0
2020-11,A00,Amsterdam Attack,800,4,3,1,1,1,4,3,1
2020-11,A00,Amsterdam Attack,1000,9,6,3,2,1,8,5,3
2020-11,A00,Amsterdam Attack,1200,12,5,7,1,1,10,4,6
2020-11,A00,Amsterdam Attack,1400,20,10,10,0,2,17,8,9
2020-11,A00,Amsterdam Attack,1600,13,5,6,1,1,8,3,3
2020-11,A00,Amsterdam Attack,1800,8,3,5,0,2,5,2,3
2020-11,A00,Amsterdam Attack,2000,3,1,2,0,0,1,1,0
2020-11,A00,Anderssen Opening,600,244,88,124,20,24,147,53,73
2020-11,A00,Anderssen Opening,800,742,284,384,60,84,394,175,195
2020-11,A00,Anderssen Opening,1000,2131,814,1062,159,223,1409,587,694
2020-11,A00,Anderssen Opening,1200,4349,1849,2127,320,450,3180,1459,1504
2020-11,A00,Anderssen Opening,1400,4900,2114,2374,272,416,3742,1751,1749
2020-11,A00,Anderssen Opening,1600,4377,2078,2089,271,300,3408,1682,1587
2020-11,A00,Anderssen Opening,1800,3256,1563,1557,159,193,2308,1094,1120
2020-11,A00,Anderssen Opening,2000,3495,1699,1589,141,155,2694,1326,1209
2020-11,A00,Anderssen Opening,2200,803,389,350,32,46,568,272,250
2020-11,A00,Anderssen Opening,2400,196,87,82,4,8,136,54,61
2020-11,A00,Anderssen Opening: Polish Gambit,600,3,3,0,1,0,1,1,0
2020-11,A00,Anderssen Opening: Polish Gambit,800,5,3,2,0,0,3,2,1
2020-11,A00,Anderssen Opening: Polish Gambit,1000,8,5,2,0,0,5,2,2
2020-11,A00,Anderssen Opening: Polish Gambit,1200,20,7,9,0,0,8,2,3
2020-11,A00,Anderssen Opening: Polish Gambit,1400,13,7,4,3,0,6,3,2
2020-11,A00,Anderssen Opening: Polish Gambit,1600,14,6,7,2,0,11,5,5
2020-11,A00,Anderssen Opening: Polish Gambit,1800,11,3,8,0,2,8,2,6
2020-11,A00,Anderssen Opening: Polish Gambit,2000,8,5,2,0,0,6,5,0
2020-11,A00,Anderssen Opening: Polish Gambit,2200,2,1,1,1,0,1,0,1
2020-11,A00,Anderssen Opening: Polish Gambit,2400,1,1,0,0,0,1,1,0
2020-11,A00,Barnes Opening: Fool's Mate,600,16,0,16,0,16,11,0,11
2020-11,A00,Barnes Opening: Fool's Mate,800,22,0,22,0,22,14,0,14
2020-11,A00,Barnes Opening: Fool's Mate,1000,34,0,34,0,34,19,0,19
2020-11,A00,Barnes Opening: Fool's Mate,1200,41,0,41,0,41,19,0,19
2020-11,A00,Barnes Opening: Fool's Mate,1400,75,0,75,0,75,21,0,21
2020-11,A00,Barnes Opening: Fool's Mate,1600,46,0,46,0,46,23,0,23
2020-11,A00,Barnes Opening: Fool's Mate,1800,26,0,26,0,26,10,0,10
2020-11,A00,Barnes Opening: Fool's Mate,2000,17,0,17,0,17,9,0,9
2020-11,A00,Barnes Opening: Fool's Mate,2200,4,0,4,0,4,2,0,2
2020-11,A00,Barnes Opening: Fool's Mate,2400,1,0,1,0,1,0,0,0
2020-11,A00,Barnes Opening: Gedult Gambit,800,1,0,1,0,0,1,0,1
2020-11,A00,Barnes Opening: Gedult Gambit,1000,1,0,1,0,0,1,0,1
2020-11,A00,Barnes Opening: Gedult Gambit,1200,7,6,1,4,0,7,6,1
2020-11,A00,Barnes Opening: Gedult Gambit,1400,4,3,1,0,0,3,2,1
2020-11,A00,Barnes Opening: Gedult Gambit,1600,8,5,3,2,1,7,5,2
2020-11,A00,Barnes Opening: Gedult Gambit,1800,8,2,5,0,0,7,2,4
2020-11,A00,Barnes Opening: Gedult Gambit,2000,14,7,6,2,1,11,6,5
2020-11,A00,Barnes Opening: Gedult Gambit,2200,3,2,1,0,0,3,2,1
