2021-07,92193352,43881270,98149.59,success
2021-07,92193352,43881270,98149.59,skipped
2019-01,33886899,15808453,102735.28,success
2019-02,31023718,14415312,103506.91,success
2019-03,34869171,16388161,103520.63,success
2019-04,33565536,15737698,102657.31,success
2019-05,35236588,16602845,104004.68,success
2019-06,33935786,16000872,102798.59,success
2019-07,35728182,17038572,103961.32,success
2019-08,36745427,17412576,102956.27,success
2019-09,36996010,17546851,103122.46,success
2019-10,40440254,19305180,101455.54,success
2019-11,40357832,19188966,99551.44,success
2019-12,44055757,21059052,97900.44,success
