month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2019-11,A00,Amar Gambit,2200,2,2,0,0,0,2,2,0
2019-11,A00,Amar Opening: Gent Gambit,1800,1,0,1,0,0,1,0,1
2019-11,A00,Amar Opening: Paris Gambit,800,2,1,0,0,0,2,1,0
2019-11,A00,Amar Opening: Paris Gambit,1000,3,1,2,1,1,1,1,0
2019-11,A00,Amar Opening: Paris Gambit,1200,3,2,1,0,0,3,2,1
2019-11,A00,Amar Opening: Paris Gambit,1400,5,3,2,0,1,4,2,2
2019-11,A00,Amar Opening: Paris Gambit,1600,6,3,3,0,2,6,3,3
2019-11,A00,Amar Opening: Paris Gambit,1800,2,1,1,0,0,1,0,1
2019-11,A00,Amar Opening: Paris Gambit,2000,4,2,2,1,0,3,1,2
2019-11,A00,Amar Opening: Paris Gambit,2200,1,0,1,0,0,0,0,0
2019-11,A00,Amsterdam Attack,800,1,0,1,0,1,0,0,0
2019-11,A00,Amsterdam Attack,1000,6,6,0,0,0,3,3,0
2019-11,A00,Amsterdam Attack,1200,4,3,1,0,0,3,2,1
2019-11,A00,Amsterdam Attack,1400,11,7,4,0,0,9,6,3
2019-11,A00,Amsterdam Attack,1600,20,10,10,1,3,15,9,6
2019-11,A00,Amsterdam Attack,1800,4,1,3,1,0,3,1,2
2019-11,A00,Amsterdam Attack,2000,1,1,0,0,0,0,0,0
2019-11,A00,Anderssen Opening,600,48,13,35,8,32,8,3,5
2019-11,A00,Anderssen Opening,800,345,152,179,39,55,178,82,89
2019-11,A00,Anderssen Opening,1000,1188,588,560,116,144,922,466,421
2019-11,A00,Anderssen Opening,1200,1966,913,970,159,145,1637,766,799
2019-11,A00,Anderssen Opening,1400,2688,1266,1335,151,204,2196,1066,1059
2019-11,A00,Anderssen Opening,1600,2255,1005,1160,133,168,1711,813,825
2019-11,A00,Anderssen Opening,1800,1939,950,924,119,119,1362,675,635
2019-11,A00,Anderssen Opening,2000,2105,1082,906,112,72,1432,714,631
2019-11,A00,Anderssen Opening,2200,749,340,353,36,55,548,267,238
2019-11,A00,Anderssen Opening,2400,70,35,29,3,4,39,14,21
2019-11,A00,Anderssen Opening: Polish Gambit,800,2,0,2,0,1,2,0,2
2019-11,A00,Anderssen Opening: Polish Gambit,1000,6,1,4,0,0,4,1,2
2019-11,A00,Anderssen Opening: Polish Gambit,1200,7,3,3,1,1,3,2,1
2019-11,A00,Anderssen Opening: Polish Gambit,1400,8,4,3,0,0,8,4,3
2019-11,A00,Anderssen Opening: Polish Gambit,1600,3,1,2,0,0,3,1,2
2019-11,A00,Anderssen Opening: Polish Gambit,1800,6,0,6,0,2,5,0,5
2019-11,A00,Anderssen Opening: Polish Gambit,2000,2,2,0,0,0,1,1,0
2019-11,A00,Barnes Opening: Fool's Mate,600,6,0,6,0,6,3,0,3
2019-11,A00,Barnes Opening: Fool's Mate,800,11,0,11,0,11,4,0,4
2019-11,A00,Barnes Opening: Fool's Mate,1000,13,0,13,0,13,10,0,10
2019-11,A00,Barnes Opening: Fool's Mate,1200,20,0,20,0,20,13,0,13
2019-11,A00,Barnes Opening: Fool's Mate,1400,13,0,13,0,13,11,0,11
2019-11,A00,Barnes Opening: Fool's Mate,1600,13,0,13,0,13,6,0,6
2019-11,A00,Barnes Opening: Fool's Mate,1800,13,0,13,0,13,5,0,5
2019-11,A00,Barnes Opening: Fool's Mate,2000,5,0,5,0,5,0,0,0
2019-11,A00,Barnes Opening: Gedult Gambit,1000,1,0,1,0,0,1,0,1
2019-11,A00,Barnes Opening: Gedult Gambit,1400,1,0,0,0,0,1,0,0
2019-11,A00,Barnes Opening: Gedult Gambit,1800,1,1,0,0,0,0,0,0
2019-11,A00,Barnes Opening: Gedult Gambit,2000,1,0,1,0,0,1,0,1
2019-11,A00,Barnes Opening: Gedult Gambit #2,800,1,0,1,0,0,0,0,0
2019-11,A00,Barnes Opening: Gedult Gambit #2,1000,1,1,0,0,0,1,1,0
2019-11,A00,Barnes Opening: Gedult Gambit #2,1200,2,2,0,1,0,2,2,0
2019-11,A00,Barnes Opening: Gedult Gambit #2,1400,2,1,1,0,0,2,1,1
2019-11,A00,Barnes Opening: Gedult Gambit #2,1600,3,2,1,0,0,1,1,0
2019-11,A00,Barnes Opening: Gedult Gambit #2,1800,12,8,4,4,1,9,5,4
2019-11,A00,Barnes Opening: Gedult Gambit #2,2000,3,1,2,1,0,2,1,1
2019-11,A00,Barnes Opening: Walkerling,600,18,9,8,2,3,4,2,2
2019-11,A00,Barnes Opening: Walkerling,800,178,76,94,15,28,117,51,60
2019-11,A00,Barnes Opening: Walkerling,1000,349,160,172,34,39,271,126,130
2019-11,A00,Barnes Opening: Walkerling,1200,380,157,207,31,36,325,140,172
2019-11,A00,Barnes Opening: Walkerling,1400,278,111,158,22,34,236,94,133
2019-11,A00,Barnes Opening: Walkerling,1600,119,53,59,8,11,102,48,48
2019-11,A00,Barnes Opening: Walkerling,1800,147,52,88,7,30,101,38,60
2019-11,A00,Barnes Opening: Walkerling,2000,56,22,30,3,6,41,16,21
2019-11,A00,Barnes Opening: Walkerling,2200,7,4,2,1,0,4,2,1
2019-11,A00,Barnes Opening: Walkerling,2400,2,0,2,0,0,0,0,0
2019-11,A00,Clemenz Opening,600,41,13,28,3,14,14,6,8
2019-11,A00,Clemenz Opening,800,504,215,267,52,77,272,123,136
2019-11,A00,Clemenz Opening,1000,1695,753,892,132,212,1297,583,674
2019-11,A00,Clemenz Opening,1200,2721,1277,1327,226,233,2252,1066,1092
2019-11,A00,Clemenz Opening,1400,3279,1494,1699,244,281,2785,1318,1390
2019-11,A00,Clemenz Opening,1600,1382,563,771,68,125,984,410,534
2019-11,A00,Clemenz Opening,1800,908,428,450,41,86,715,337,358
2019-11,A00,Clemenz Opening,2000,516,244,242,17,43,385,179,180
2019-11,A00,Clemenz Opening,2200,223,112,102,6,17,164,83,74
2019-11,A00,Clemenz Opening,2400,58,30,28,2,0,32,16,16
2019-11,A00,Clemenz Opening: Spike Lee Gambit,800,2,1,1,0,0,1,0,1
2019-11,A00,Clemenz Opening: Spike Lee Gambit,1000,3,2,1,1,0,3,2,1
2019-11,A00,Clemenz Opening: Spike Lee Gambit,1200,1,0,0,0,0,1,0,0
2019-11,A00,Clemenz Opening: Spike Lee Gambit,1400,10,4,4,0,2,8,2,4
2019-11,A00,Clemenz Opening: Spike Lee Gambit,1800,1,1,0,0,0,1,1,0
2019-11,A00,Clemenz Opening: Spike Lee Gambit,2000,4,3,1,1,0,2,2,0
2019-11,A00,Crab Opening,600,11,3,5,1,3,6,2,2
2019-11,A00,Crab Opening,800,128,41,81,7,31,58,16,38
2019-11,A00,Crab Opening,1000,275,113,155,20,45,202,92,107
