month,eco,opening,bin,n,ww,bw,wsw,bsw,n_close,ww_close,bw_close
2021-12,A00,Amar Gambit,1000,1,1,0,0,0,1,1,0
2021-12,A00,Amar Gambit,1600,2,0,2,0,1,1,0,1
2021-12,A00,Amar Gambit,1800,1,1,0,0,0,0,0,0
2021-12,A00,Amar Gambit,2000,1,0,1,0,1,0,0,0
2021-12,A00,Amar Gambit,2400,1,1,0,0,0,1,1,0
2021-12,A00,Amar Opening,600,587,221,312,61,100,389,156,200
2021-12,A00,Amar Opening,800,1351,519,729,155,199,795,328,421
2021-12,A00,Amar Opening,1000,1981,710,1074,159,280,1240,497,640
2021-12,A00,Amar Opening,1200,1569,553,842,132,218,778,301,397
2021-12,A00,Amar Opening,1400,1688,680,889,122,248,1065,476,529
2021-12,A00,Amar Opening,1600,1085,424,598,63,134,632,282,310
2021-12,A00,Amar Opening,1800,1030,514,473,72,62,592,310,254
2021-12,A00,Amar Opening,2000,1416,703,643,64,49,980,461,462
2021-12,A00,Amar Opening,2200,375,158,198,10,22,247,108,127
2021-12,A00,Amar Opening,2400,199,79,104,8,8,150,64,77
2021-12,A00,Amar Opening: Gent Gambit,1800,1,1,0,0,0,1,1,0
2021-12,A00,Amar Opening: Paris Gambit,600,2,1,1,0,0,1,0,1
2021-12,A00,Amar Opening: Paris Gambit,800,3,1,2,1,1,0,0,0
2021-12,A00,Amar Opening: Paris Gambit,1000,12,4,8,0,3,12,4,8
2021-12,A00,Amar Opening: Paris Gambit,1200,15,4,10,2,0,11,3,8
2021-12,A00,Amar Opening: Paris Gambit,1400,9,2,6,0,2,7,2,5
2021-12,A00,Amar Opening: Paris Gambit,1600,25,15,10,5,4,23,14,9
2021-12,A00,Amar Opening: Paris Gambit,1800,14,4,10,0,2,10,3,7
2021-12,A00,Amar Opening: Paris Gambit,2000,1,0,1,0,0,1,0,1
2021-12,A00,Amar Opening: Paris Gambit,2200,2,1,0,0,0,2,1,0
2021-12,A00,Amar Opening: Paris Gambit,2400,2,1,1,0,0,1,0,1
2021-12,A00,Amsterdam Attack,800,2,1,1,0,0,1,0,1
2021-12,A00,Amsterdam Attack,1000,10,8,2,3,0,9,8,1
2021-12,A00,Amsterdam Attack,1200,10,6,4,2,0,9,6,3
2021-12,A00,Amsterdam Attack,1400,16,6,9,0,3,15,5,9
2021-12,A00,Amsterdam Attack,1600,10,4,4,1,0,8,3,4
2021-12,A00,Amsterdam Attack,1800,9,6,3,1,0,7,4,3
2021-12,A00,Amsterdam Attack,2000,5,2,2,0,0,2,1,1
2021-12,A00,Anderssen's Opening,600,328,99,184,32,62,217,73,114
2021-12,A00,Anderssen's Opening,800,801,271,421,49,105,445,160,229
2021-12,A00,Anderssen's Opening,1000,2434,1007,1186,221,276,1710,741,849
2021-12,A00,Anderssen's Opening,1200,3808,1650,1826,307,328,2860,1312,1357
2021-12,A00,Anderssen's Opening,1400,4453,2005,2185,441,419,3416,1586,1661
2021-12,A00,Anderssen's Opening,1600,5568,2578,2745,366,393,4578,2153,2245
2021-12,A00,Anderssen's Opening,1800,4934,2321,2374,267,288,4073,1921,1958
2021-12,A00,Anderssen's Opening,2000,3438,1696,1556,160,172,2627,1306,1179
2021-12,A00,Anderssen's Opening,2200,1583,742,754,70,69,1122,531,540
2021-12,A00,Anderssen's Opening,2400,731,332,339,29,33,575,277,251
2021-12,A00,Anderssen's Opening: Polish Gambit,600,3,1,0,0,0,2,1,0
2021-12,A00,Anderssen's Opening: Polish Gambit,800,4,1,2,1,0,1,1,0
2021-12,A00,Anderssen's Opening: Polish Gambit,1000,19,7,8,3,2,11,5,5
2021-12,A00,Anderssen's Opening: Polish Gambit,1200,7,3,3,1,2,5,2,3
2021-12,A00,Anderssen's Opening: Polish Gambit,1400,8,6,2,2,1,5,4,1
2021-12,A00,Anderssen's Opening: Polish Gambit,1600,11,5,4,1,0,10,5,4
2021-12,A00,Anderssen's Opening: Polish Gambit,1800,9,3,6,1,1,5,2,3
2021-12,A00,Anderssen's Opening: Polish Gambit,2000,10,4,5,0,3,9,4,4
2021-12,A00,Anderssen's Opening: Polish Gambit,2200,12,8,3,1,0,6,4,2
2021-12,A00,Anderssen's Opening: Polish Gambit,2400,12,9,3,1,1,12,9,3
2021-12,A00,Barnes Opening: Fool's Mate,600,22,0,22,0,22,16,0,16
2021-12,A00,Barnes Opening: Fool's Mate,800,24,0,24,0,24,13,0,13
2021-12,A00,Barnes Opening: Fool's Mate,1000,31,0,31,0,31,22,0,22
2021-12,A00,Barnes Opening: Fool's Mate,1200,38,0,38,0,38,22,0,22
2021-12,A00,Barnes Opening: Fool's Mate,1400,39,0,39,0,39,22,0,22
2021-12,A00,Barnes Opening: Fool's Mate,1600,34,0,34,0,34,18,0,18
2021-12,A00,Barnes Opening: Fool's Mate,1800,18,0,18,0,18,11,0,11
2021-12,A00,Barnes Opening: Fool's Mate,2000,14,0,14,0,14,11,0,11
2021-12,A00,Barnes Opening: Fool's Mate,2200,5,0,5,0,5,4,0,4
2021-12,A00,Barnes Opening: Fool's Mate,2400,1,0,1,0,1,0,0,0
2021-12,A00,Barnes Opening: Gedult Gambit,800,1,1,0,0,0,1,1,0
2021-12,A00,Barnes Opening: Gedult Gambit,1000,3,2,0,2,0,3,2,0
2021-12,A00,Barnes Opening: Gedult Gambit,1200,4,2,2,0,0,4,2,2
2021-12,A00,Barnes Opening: Gedult Gambit,1400,4,2,2,1,0,3,1,2
2021-12,A00,Barnes Opening: Gedult Gambit,1600,5,5,0,1,0,5,5,0
2021-12,A00,Barnes Opening: Gedult Gambit,1800,18,11,7,3,1,16,9,7
2021-12,A00,Barnes Opening: Gedult Gambit,2000,15,9,6,2,1,11,8,3
2021-12,A00,Barnes Opening: Gedult Gambit,2200,6,4,2,2,0,4,3,1
2021-12,A00,Barnes Opening: Gedult Gambit,2400,2,1,1,1,0,2,1,1
2021-12,A00,Barnes Opening: Hammerschlag,600,8,3,4,1,2,2,0,2
2021-12,A00,Barnes Opening: Hammerschlag,800,47,21,23,5,14,37,17,17
2021-12,A00,Barnes Opening: Hammerschlag,1000,128,61,55,8,18,108,52,47
2021-12,A00,Barnes Opening: Hammerschlag,1200,174,68,92,15,39,154,59,82
2021-12,A00,Barnes Opening: Hammerschlag,1400,281,146,124,20,34,250,124,116
2021-12,A00,Barnes Opening: Hammerschlag,1600,413,198,197,24,61,338,155,167
2021-12,A00,Barnes Opening: Hammerschlag,1800,367,177,177,11,47,282,123,148
2021-12,A00,Barnes Opening: Hammerschlag,2000,270,125,135,9,27,221,101,110
2021-12,A00,Barnes Opening: Hammerschlag,2200,183,77,95,5,18,156,67,80
2021-12,A00,Barnes Opening: Hammerschlag,2400,77,36,33,1,5,64,31,26
2021-12,A00,Clemenz Opening,600,599,168,361,39,158,321,111,175
2021-12,A00,Clemenz Opening,800,1897,638,1031,127,355,1101,415,576
2021-12,A00,Clemenz Opening,1000,4351,1648,2203,310,693,2766,1195,1336
2021-12,A00,Clemenz Opening,1200,5542,1988,2930,327,816,3630,1512,1788
2021-12,A00,Clemenz Opening,1400,5987,2325,3198,416,836,4548,1958,2293
2021-12,A00,Clemenz Opening,1600,4042,1707,2147,196,410,3280,1494,1655
2021-12,A00,Clemenz Opening,1800,2077,909,1094,94,240,1586,697,830
2021-12,A00,Clemenz Opening,2000,1673,783,832,88,169,1279,599,640
2021-12,A00,Clemenz Opening,2200,1002,525,422,36,35,755,394,316
2021-12,A00,Clemenz Opening,2400,184,82,91,6,12,128,64,58
2021-12,A00,Clemenz Opening: Spike Lee Gambit,600,5,2,1,2,0,3,1,1
2021-12,A00,Clemenz Opening: Spike Lee Gambit,800,8,3,1,0,0,4,2,0
2021-12,A00,Clemenz Opening: Spike Lee Gambit,1000,20,5,11,1,3,12,4,6
2021-12,A00,Clemenz Opening: Spike Lee Gambit,1200,13,2,9,0,0,8,1,6
2021-12,A00,Clemenz Opening: Spike Lee Gambit,1400,15,5,4,0,0,5,3,2
2021-12,A00,Clemenz Opening: Spike Lee Gambit,1600,5,1,3,0,2,3,0,3
2021-12,A00,Clemenz Opening: Spike Lee Gambit,1800,1,0,0,0,0,1,0,0
2021-12,A00,Clemenz Opening: Spike Lee Gambit,2000,3,0,3,0,3,2,0,2
2021-12,A00,Clemenz Opening: Spike Lee Gambit,2200,2,0,2,0,0,2,0,2
2021-12,A00,Crab Opening,600,148,41,100,8,40,93,30,58
2021-12,A00,Crab Opening,800,432,145,248,35,87,310,115,166
2021-12,A00,Crab Opening,1000,793,299,457,67,129,622,261,333
2021-12,A00,Crab Opening,1200,760,276,448,49,137,586,241,320
2021-12,A00,Crab Opening,1400,876,374,459,53,112,722,334,354
2021-12,A00,Crab Opening,1600,490,194,277,28,57,384,165,206
2021-12,A00,Crab Opening,1800,188,71,109,8,24,123,47,70
2021-12,A00,Crab Opening,2000,79,46,31,7,7,58,35,21
2021-12,A00,Crab Opening,2200,21,15,6,1,2,8,5,3
2021-12,A00,Crab Opening,2400,8,3,5,0,1,5,2,3
2021-12,A00,Creepy Crawly Formation: Classical Defense,600,6,2,4,1,1,4,2,2
2021-12,A00,Creepy Crawly Formation: Classical Defense,800,62,19,38,5,18,47,13,30
2021-12,A00,Creepy Crawly Formation: Classical Defense,1000,380,178,179,26,39,332,162,153
2021-12,A00,Creepy Crawly Formation: Classical Defense,1200,736,356,357,46,51,647,324,304
2021-12,A00,Creepy Crawly Formation: Classical Defense,1400,1109,506,561,54,80,1003,469,494
2021-12,A00,Creepy Crawly Formation: Classical Defense,1600,1065,484,523,56,66,942,445,446
2021-12,A00,Creepy Crawly Formation: Classical Defense,1800,327,117,197,7,24,270,98,160
2021-12,A00,Creepy Crawly Formation: Classical Defense,2000,148,76,64,3,5,119,63,50
